Using downloaded and verified file: ./data/bloodmnist/bloodmnist.npz
Using downloaded and verified file: ./data/bloodmnist/bloodmnist.npz
num params: 466848
[(0, 2), (1, 2), (2, 2), (3, 2)]
************************************************************************************************************
Task  0
************************************************************************************************************
| Epoch   1, time=  6.0s | Train: skip eval | Valid: time=  0.1s loss=0.351, TAw acc=  0.0% | *
| Epoch   2, time=  6.7s | Train: skip eval | Valid: time=  0.1s loss=0.228, TAw acc=  0.0% | *
| Epoch   3, time=  5.6s | Train: skip eval | Valid: time=  0.1s loss=0.168, TAw acc=  0.0% | *
| Epoch   4, time=  6.1s | Train: skip eval | Valid: time=  0.1s loss=0.172, TAw acc=  0.0% |
| Epoch   5, time=  6.0s | Train: skip eval | Valid: time=  0.1s loss=0.704, TAw acc=  0.0% |
| Epoch   6, time=  6.3s | Train: skip eval | Valid: time=  0.2s loss=0.166, TAw acc=  0.0% | *
| Epoch   7, time=  6.7s | Train: skip eval | Valid: time=  0.1s loss=0.119, TAw acc=  0.0% | *
| Epoch   8, time=  6.9s | Train: skip eval | Valid: time=  0.1s loss=0.090, TAw acc=  0.0% | *
| Epoch   9, time=  6.6s | Train: skip eval | Valid: time=  0.1s loss=0.109, TAw acc=  0.0% |
| Epoch  10, time=  6.3s | Train: skip eval | Valid: time=  0.1s loss=0.133, TAw acc=  0.0% |
| Epoch  11, time=  6.0s | Train: skip eval | Valid: time=  0.1s loss=0.095, TAw acc=  0.0% |
| Epoch  12, time=  6.2s | Train: skip eval | Valid: time=  0.1s loss=0.102, TAw acc=  0.0% |
| Epoch  13, time=  7.2s | Train: skip eval | Valid: time=  0.1s loss=0.099, TAw acc=  0.0% |
| Epoch  14, time=  7.4s | Train: skip eval | Valid: time=  0.2s loss=0.184, TAw acc=  0.0% |
| Epoch  15, time=  7.2s | Train: skip eval | Valid: time=  0.2s loss=0.092, TAw acc=  0.0% |
| Epoch  16, time=  6.9s | Train: skip eval | Valid: time=  0.1s loss=0.106, TAw acc=  0.0% |
| Epoch  17, time=  7.1s | Train: skip eval | Valid: time=  0.1s loss=0.086, TAw acc=  0.0% | *
| Epoch  18, time=  7.2s | Train: skip eval | Valid: time=  0.1s loss=0.084, TAw acc=  0.0% | *
| Epoch  19, time=  7.2s | Train: skip eval | Valid: time=  0.2s loss=0.069, TAw acc=  0.0% | *
| Epoch  20, time=  7.1s | Train: skip eval | Valid: time=  0.1s loss=0.073, TAw acc=  0.0% |
| Epoch  21, time=  6.9s | Train: skip eval | Valid: time=  0.1s loss=0.088, TAw acc=  0.0% |
| Epoch  22, time=  6.5s | Train: skip eval | Valid: time=  0.1s loss=0.091, TAw acc=  0.0% |
| Epoch  23, time=  7.1s | Train: skip eval | Valid: time=  0.1s loss=0.098, TAw acc=  0.0% |
| Epoch  24, time=  7.0s | Train: skip eval | Valid: time=  0.1s loss=0.091, TAw acc=  0.0% |
| Epoch  25, time=  6.5s | Train: skip eval | Valid: time=  0.1s loss=0.063, TAw acc=  0.0% | *
| Epoch  26, time=  7.0s | Train: skip eval | Valid: time=  0.2s loss=0.056, TAw acc=  0.0% | *
| Epoch  27, time=  7.2s | Train: skip eval | Valid: time=  0.1s loss=0.099, TAw acc=  0.0% |
| Epoch  28, time=  6.6s | Train: skip eval | Valid: time=  0.1s loss=0.082, TAw acc=  0.0% |
| Epoch  29, time=  6.9s | Train: skip eval | Valid: time=  0.1s loss=0.065, TAw acc=  0.0% |
| Epoch  30, time=  6.8s | Train: skip eval | Valid: time=  0.1s loss=0.068, TAw acc=  0.0% |
| Epoch  31, time=  7.4s | Train: skip eval | Valid: time=  0.2s loss=0.067, TAw acc=  0.0% |
| Epoch  32, time=  7.4s | Train: skip eval | Valid: time=  0.2s loss=0.080, TAw acc=  0.0% |
| Epoch  33, time=  6.8s | Train: skip eval | Valid: time=  0.1s loss=0.047, TAw acc=  0.0% | *
| Epoch  34, time=  5.9s | Train: skip eval | Valid: time=  0.1s loss=0.057, TAw acc=  0.0% |
| Epoch  35, time=  5.8s | Train: skip eval | Valid: time=  0.1s loss=0.062, TAw acc=  0.0% |
| Epoch  36, time=  6.9s | Train: skip eval | Valid: time=  0.1s loss=0.052, TAw acc=  0.0% |
| Epoch  37, time=  7.5s | Train: skip eval | Valid: time=  0.1s loss=0.054, TAw acc=  0.0% |
| Epoch  38, time=  7.2s | Train: skip eval | Valid: time=  0.1s loss=0.060, TAw acc=  0.0% |
| Epoch  39, time=  7.0s | Train: skip eval | Valid: time=  0.1s loss=0.054, TAw acc=  0.0% |
| Epoch  40, time=  7.0s | Train: skip eval | Valid: time=  0.1s loss=0.079, TAw acc=  0.0% |
| Epoch  41, time=  6.0s | Train: skip eval | Valid: time=  0.1s loss=0.060, TAw acc=  0.0% |
| Epoch  42, time=  7.2s | Train: skip eval | Valid: time=  0.1s loss=0.573, TAw acc=  0.0% |
| Epoch  43, time=  7.0s | Train: skip eval | Valid: time=  0.1s loss=0.063, TAw acc=  0.0% |
| Epoch  44, time=  6.3s | Train: skip eval | Valid: time=  0.1s loss=0.054, TAw acc=  0.0% |
| Epoch  45, time=  7.1s | Train: skip eval | Valid: time=  0.1s loss=0.798, TAw acc=  0.0% |
| Epoch  46, time=  7.2s | Train: skip eval | Valid: time=  0.2s loss=0.053, TAw acc=  0.0% |
