Files already downloaded and verified
Files already downloaded and verified
num params: 482856
[(0, 10), (1, 10), (2, 10), (3, 10), (4, 10), (5, 10), (6, 10), (7, 10), (8, 10), (9, 10)]
************************************************************************************************************
Task  0
************************************************************************************************************
| Epoch   1, time= 12.6s | Train: skip eval | Valid: time=  0.2s loss=1.919, TAw acc=  0.0% | *
| Epoch   2, time= 13.9s | Train: skip eval | Valid: time=  0.2s loss=1.687, TAw acc=  0.0% | *
| Epoch   3, time= 12.8s | Train: skip eval | Valid: time=  0.2s loss=1.401, TAw acc=  0.0% | *
| Epoch   4, time= 12.4s | Train: skip eval | Valid: time=  0.2s loss=1.455, TAw acc=  0.0% |
| Epoch   5, time= 12.2s | Train: skip eval | Valid: time=  0.2s loss=1.481, TAw acc=  0.0% |
| Epoch   6, time= 12.0s | Train: skip eval | Valid: time=  0.2s loss=1.692, TAw acc=  0.0% |
| Epoch   7, time= 13.1s | Train: skip eval | Valid: time=  0.2s loss=1.291, TAw acc=  0.0% | *
| Epoch   8, time= 14.9s | Train: skip eval | Valid: time=  0.2s loss=1.514, TAw acc=  0.0% |
| Epoch   9, time= 13.6s | Train: skip eval | Valid: time=  0.2s loss=1.251, TAw acc=  0.0% | *
| Epoch  10, time= 13.8s | Train: skip eval | Valid: time=  0.2s loss=1.411, TAw acc=  0.0% |
| Epoch  11, time= 13.5s | Train: skip eval | Valid: time=  0.2s loss=1.211, TAw acc=  0.0% | *
| Epoch  12, time= 12.9s | Train: skip eval | Valid: time=  0.2s loss=1.111, TAw acc=  0.0% | *
| Epoch  13, time= 11.8s | Train: skip eval | Valid: time=  0.1s loss=1.370, TAw acc=  0.0% |
| Epoch  14, time= 13.5s | Train: skip eval | Valid: time=  0.2s loss=1.051, TAw acc=  0.0% | *
| Epoch  15, time= 15.2s | Train: skip eval | Valid: time=  0.2s loss=1.436, TAw acc=  0.0% |
| Epoch  16, time= 14.2s | Train: skip eval | Valid: time=  0.2s loss=1.084, TAw acc=  0.0% |
| Epoch  17, time= 12.4s | Train: skip eval | Valid: time=  0.2s loss=1.407, TAw acc=  0.0% |
| Epoch  18, time= 12.3s | Train: skip eval | Valid: time=  0.2s loss=1.024, TAw acc=  0.0% | *
| Epoch  19, time= 14.1s | Train: skip eval | Valid: time=  0.1s loss=1.029, TAw acc=  0.0% |
| Epoch  20, time= 13.0s | Train: skip eval | Valid: time=  0.2s loss=1.007, TAw acc=  0.0% | *
| Epoch  21, time= 14.2s | Train: skip eval | Valid: time=  0.2s loss=1.083, TAw acc=  0.0% |
| Epoch  22, time= 13.7s | Train: skip eval | Valid: time=  0.2s loss=1.104, TAw acc=  0.0% |
| Epoch  23, time= 14.3s | Train: skip eval | Valid: time=  0.2s loss=1.395, TAw acc=  0.0% |
| Epoch  24, time= 11.8s | Train: skip eval | Valid: time=  0.2s loss=1.010, TAw acc=  0.0% |
| Epoch  25, time= 14.9s | Train: skip eval | Valid: time=  0.2s loss=0.925, TAw acc=  0.0% | *
| Epoch  26, time= 15.2s | Train: skip eval | Valid: time=  0.2s loss=1.099, TAw acc=  0.0% |
| Epoch  27, time= 15.2s | Train: skip eval | Valid: time=  0.2s loss=1.578, TAw acc=  0.0% |
| Epoch  28, time= 11.6s | Train: skip eval | Valid: time=  0.1s loss=0.847, TAw acc=  0.0% | *
