Files already downloaded and verified
Files already downloaded and verified
Classifier output dim:  100
num params: 11789612
[(0, 10), (1, 10), (2, 10), (3, 10), (4, 10), (5, 10), (6, 10), (7, 10), (8, 10), (9, 10)]
************************************************************************************************************
Task  0
************************************************************************************************************
| Epoch   1, time= 10.6s | Train: skip eval | Valid: time=  0.2s loss=2.010, TAw acc=  0.0% |
| Epoch   2, time= 10.3s | Train: skip eval | Valid: time=  0.3s loss=1.831, TAw acc=  0.0% |
| Epoch   3, time= 10.7s | Train: skip eval | Valid: time=  0.3s loss=1.600, TAw acc=  0.0% |
| Epoch   4, time= 10.3s | Train: skip eval | Valid: time=  0.3s loss=1.516, TAw acc=  0.0% |
| Epoch   5, time= 10.2s | Train: skip eval | Valid: time=  0.3s loss=1.961, TAw acc=  0.0% |
| Epoch   6, time= 11.0s | Train: skip eval | Valid: time=  0.2s loss=1.485, TAw acc=  0.0% |
| Epoch   7, time= 10.6s | Train: skip eval | Valid: time=  0.3s loss=1.448, TAw acc=  0.0% |
| Epoch   8, time= 10.8s | Train: skip eval | Valid: time=  0.3s loss=1.479, TAw acc=  0.0% |
| Epoch   9, time= 10.4s | Train: skip eval | Valid: time=  0.3s loss=1.343, TAw acc=  0.0% |
| Epoch  10, time= 10.4s | Train: skip eval | Valid: time=  0.2s loss=1.300, TAw acc=  0.0% |
| Epoch  11, time= 10.4s | Train: skip eval | Valid: time=  0.3s loss=1.328, TAw acc=  0.0% |
