Files already downloaded and verified
Files already downloaded and verified
Classifier output dim:  100
num params: 11789612
[(0, 10), (1, 10), (2, 10), (3, 10), (4, 10), (5, 10), (6, 10), (7, 10), (8, 10), (9, 10)]
************************************************************************************************************
Task  0
************************************************************************************************************
loss_mse:  tensor(0.1089, device='cuda:0', grad_fn=<MulBackward0>)
loss_mse:  tensor(0.1062, device='cuda:0', grad_fn=<MulBackward0>)
loss_mse:  tensor(0.1770, device='cuda:0', grad_fn=<MulBackward0>)
loss_mse:  tensor(0.1743, device='cuda:0', grad_fn=<MulBackward0>)
loss_mse:  tensor(0.2174, device='cuda:0', grad_fn=<MulBackward0>)
loss_mse:  tensor(0.2224, device='cuda:0', grad_fn=<MulBackward0>)
loss_mse:  tensor(0.2258, device='cuda:0', grad_fn=<MulBackward0>)
loss_mse:  tensor(0.1455, device='cuda:0', grad_fn=<MulBackward0>)
loss_mse:  tensor(0.2243, device='cuda:0', grad_fn=<MulBackward0>)
loss_mse:  tensor(0.1651, device='cuda:0', grad_fn=<MulBackward0>)
loss_mse:  tensor(0.1588, device='cuda:0', grad_fn=<MulBackward0>)
loss_mse:  tensor(0.1784, device='cuda:0', grad_fn=<MulBackward0>)
loss_mse:  tensor(0.1861, device='cuda:0', grad_fn=<MulBackward0>)
loss_mse:  tensor(0.1599, device='cuda:0', grad_fn=<MulBackward0>)
loss_mse:  tensor(0.1985, device='cuda:0', grad_fn=<MulBackward0>)
loss_mse:  tensor(0.1692, device='cuda:0', grad_fn=<MulBackward0>)
loss_mse:  tensor(0.1423, device='cuda:0', grad_fn=<MulBackward0>)
loss_mse:  tensor(0.1877, device='cuda:0', grad_fn=<MulBackward0>)
loss_mse:  tensor(0.1447, device='cuda:0', grad_fn=<MulBackward0>)
loss_mse:  tensor(0.1518, device='cuda:0', grad_fn=<MulBackward0>)
loss_mse:  tensor(0.1706, device='cuda:0', grad_fn=<MulBackward0>)
loss_mse:  tensor(0.1593, device='cuda:0', grad_fn=<MulBackward0>)
loss_mse:  tensor(0.1750, device='cuda:0', grad_fn=<MulBackward0>)
loss_mse:  tensor(0.1996, device='cuda:0', grad_fn=<MulBackward0>)
loss_mse:  tensor(0.1581, device='cuda:0', grad_fn=<MulBackward0>)
loss_mse:  tensor(0.1209, device='cuda:0', grad_fn=<MulBackward0>)
loss_mse:  tensor(0.1655, device='cuda:0', grad_fn=<MulBackward0>)
loss_mse:  tensor(0.1732, device='cuda:0', grad_fn=<MulBackward0>)
loss_mse:  tensor(0.1582, device='cuda:0', grad_fn=<MulBackward0>)
loss_mse:  tensor(0.1641, device='cuda:0', grad_fn=<MulBackward0>)
loss_mse:  tensor(0.1353, device='cuda:0', grad_fn=<MulBackward0>)
loss_mse:  tensor(0.1558, device='cuda:0', grad_fn=<MulBackward0>)
loss_mse:  tensor(0.1451, device='cuda:0', grad_fn=<MulBackward0>)
loss_mse:  tensor(0.1542, device='cuda:0', grad_fn=<MulBackward0>)
