Files already downloaded and verified
Files already downloaded and verified
Classifier output dim:  100
num params: 11220132
[(0, 10), (1, 10), (2, 10), (3, 10), (4, 10), (5, 10), (6, 10), (7, 10), (8, 10), (9, 10)]
************************************************************************************************************
Task  0
************************************************************************************************************
| Epoch   1, time= 13.0s | Train: skip eval | Valid: time=  0.2s loss=2.197, TAw acc=  0.0% | lr: 0.0300
| Epoch   2, time=  8.0s | Train: skip eval | Valid: time=  0.2s loss=1.928, TAw acc=  0.0% | lr: 0.0300
| Epoch   3, time=  8.2s | Train: skip eval | Valid: time=  0.2s loss=1.653, TAw acc=  0.0% | lr: 0.0300
| Epoch   4, time=  7.3s | Train: skip eval | Valid: time=  0.2s loss=2.281, TAw acc=  0.0% | lr: 0.0300
| Epoch   5, time=  7.3s | Train: skip eval | Valid: time=  0.2s loss=1.502, TAw acc=  0.0% | lr: 0.0300
| Epoch   6, time=  7.3s | Train: skip eval | Valid: time=  0.2s loss=1.342, TAw acc=  0.0% | lr: 0.0300
| Epoch   7, time=  7.3s | Train: skip eval | Valid: time=  0.2s loss=1.272, TAw acc=  0.0% | lr: 0.0300
| Epoch   8, time=  7.2s | Train: skip eval | Valid: time=  0.2s loss=0.972, TAw acc=  0.0% | lr: 0.0300
| Epoch   9, time=  7.2s | Train: skip eval | Valid: time=  0.2s loss=1.781, TAw acc=  0.0% | lr: 0.0300
| Epoch  10, time=  7.2s | Train: skip eval | Valid: time=  0.2s loss=1.170, TAw acc=  0.0% | lr: 0.0300
| Epoch  11, time=  7.2s | Train: skip eval | Valid: time=  0.2s loss=1.264, TAw acc=  0.0% | lr: 0.0300
| Epoch  12, time=  7.2s | Train: skip eval | Valid: time=  0.2s loss=1.010, TAw acc=  0.0% | lr: 0.0300
| Epoch  13, time=  7.2s | Train: skip eval | Valid: time=  0.2s loss=0.990, TAw acc=  0.0% | lr: 0.0300
| Epoch  14, time=  7.2s | Train: skip eval | Valid: time=  0.2s loss=1.007, TAw acc=  0.0% | lr: 0.0300
| Epoch  15, time=  7.1s | Train: skip eval | Valid: time=  0.2s loss=1.293, TAw acc=  0.0% | lr: 0.0300
| Epoch  16, time=  7.2s | Train: skip eval | Valid: time=  0.2s loss=0.885, TAw acc=  0.0% | lr: 0.0300
| Epoch  17, time=  7.2s | Train: skip eval | Valid: time=  0.2s loss=1.033, TAw acc=  0.0% | lr: 0.0300
| Epoch  18, time=  7.1s | Train: skip eval | Valid: time=  0.2s loss=0.885, TAw acc=  0.0% | lr: 0.0300
| Epoch  19, time=  7.1s | Train: skip eval | Valid: time=  0.2s loss=0.714, TAw acc=  0.0% | lr: 0.0300
| Epoch  20, time=  7.0s | Train: skip eval | Valid: time=  0.2s loss=1.036, TAw acc=  0.0% | lr: 0.0300
| Epoch  21, time=  7.1s | Train: skip eval | Valid: time=  0.2s loss=0.745, TAw acc=  0.0% | lr: 0.0300
