Using downloaded and verified file: ./data/bloodmnist/bloodmnist.npz
Using downloaded and verified file: ./data/bloodmnist/bloodmnist.npz
num params: 466848
[(0, 2), (1, 2), (2, 2), (3, 2)]
************************************************************************************************************
Task  0
************************************************************************************************************
| Epoch   1, time= 16.7s | Train: skip eval | Valid: time=  0.3s loss=0.918, TAw acc=  0.0% | lr: 0.0300
| Epoch   2, time= 11.1s | Train: skip eval | Valid: time=  0.3s loss=1.192, TAw acc=  0.0% | lr: 0.0300
| Epoch   3, time= 11.0s | Train: skip eval | Valid: time=  0.3s loss=1.247, TAw acc=  0.0% | lr: 0.0300
| Epoch   4, time= 11.1s | Train: skip eval | Valid: time=  0.3s loss=1.572, TAw acc=  0.0% | lr: 0.0300
| Epoch   5, time= 10.8s | Train: skip eval | Valid: time=  0.3s loss=1.747, TAw acc=  0.0% | lr: 0.0300
| Epoch   6, time= 10.9s | Train: skip eval | Valid: time=  0.2s loss=4.374, TAw acc=  0.0% | lr: 0.0300
| Epoch   7, time= 11.1s | Train: skip eval | Valid: time=  0.3s loss=6.285, TAw acc=  0.0% | lr: 0.0300
| Epoch   8, time= 10.8s | Train: skip eval | Valid: time=  0.3s loss=3.795, TAw acc=  0.0% | lr: 0.0300
| Epoch   9, time= 11.1s | Train: skip eval | Valid: time=  0.3s loss=6.963, TAw acc=  0.0% | lr: 0.0300
| Epoch  10, time= 11.3s | Train: skip eval | Valid: time=  0.3s loss=5.840, TAw acc=  0.0% | lr: 0.0300
| Epoch  11, time= 10.8s | Train: skip eval | Valid: time=  0.3s loss=5.029, TAw acc=  0.0% | lr: 0.0300
| Epoch  12, time= 11.1s | Train: skip eval | Valid: time=  0.3s loss=8.226, TAw acc=  0.0% | lr: 0.0300
| Epoch  13, time= 11.0s | Train: skip eval | Valid: time=  0.3s loss=7.347, TAw acc=  0.0% | lr: 0.0300
| Epoch  14, time= 10.9s | Train: skip eval | Valid: time=  0.3s loss=7.766, TAw acc=  0.0% | lr: 0.0300
| Epoch  15, time= 10.9s | Train: skip eval | Valid: time=  0.3s loss=13.310, TAw acc=  0.0% | lr: 0.0300
| Epoch  16, time= 10.8s | Train: skip eval | Valid: time=  0.3s loss=10.148, TAw acc=  0.0% | lr: 0.0300
| Epoch  17, time= 11.0s | Train: skip eval | Valid: time=  0.3s loss=11.339, TAw acc=  0.0% | lr: 0.0300
| Epoch  18, time= 11.2s | Train: skip eval | Valid: time=  0.3s loss=15.255, TAw acc=  0.0% | lr: 0.0300
| Epoch  19, time= 11.5s | Train: skip eval | Valid: time=  0.3s loss=16.721, TAw acc=  0.0% | lr: 0.0300
| Epoch  20, time= 11.3s | Train: skip eval | Valid: time=  0.3s loss=12.464, TAw acc=  0.0% | lr: 0.0300
| Epoch  21, time= 11.0s | Train: skip eval | Valid: time=  0.3s loss=9.633, TAw acc=  0.0% | lr: 0.0300
| Epoch  22, time= 11.1s | Train: skip eval | Valid: time=  0.3s loss=11.678, TAw acc=  0.0% | lr: 0.0300
| Epoch  23, time= 10.7s | Train: skip eval | Valid: time=  0.3s loss=7.996, TAw acc=  0.0% | lr: 0.0300
| Epoch  24, time= 11.0s | Train: skip eval | Valid: time=  0.3s loss=10.790, TAw acc=  0.0% | lr: 0.0300
| Epoch  25, time= 11.3s | Train: skip eval | Valid: time=  0.3s loss=11.190, TAw acc=  0.0% | lr: 0.0300
| Epoch  26, time= 11.7s | Train: skip eval | Valid: time=  0.3s loss=13.323, TAw acc=  0.0% | lr: 0.0300
| Epoch  27, time= 11.2s | Train: skip eval | Valid: time=  0.3s loss=9.997, TAw acc=  0.0% | lr: 0.0300
| Epoch  28, time= 11.9s | Train: skip eval | Valid: time=  0.3s loss=11.667, TAw acc=  0.0% | lr: 0.0300
| Epoch  29, time= 12.0s | Train: skip eval | Valid: time=  0.2s loss=10.297, TAw acc=  0.0% | lr: 0.0300
| Epoch  30, time= 11.2s | Train: skip eval | Valid: time=  0.2s loss=12.572, TAw acc=  0.0% | lr: 0.0300
| Epoch  31, time= 11.0s | Train: skip eval | Valid: time=  0.3s loss=7.735, TAw acc=  0.0% | lr: 0.0300
| Epoch  32, time= 11.4s | Train: skip eval | Valid: time=  0.2s loss=4.499, TAw acc=  0.0% | lr: 0.0300
| Epoch  33, time= 11.4s | Train: skip eval | Valid: time=  0.2s loss=10.669, TAw acc=  0.0% | lr: 0.0300
| Epoch  34, time= 11.0s | Train: skip eval | Valid: time=  0.2s loss=8.563, TAw acc=  0.0% | lr: 0.0300
| Epoch  35, time= 11.1s | Train: skip eval | Valid: time=  0.3s loss=9.819, TAw acc=  0.0% | lr: 0.0100
| Epoch  36, time= 10.6s | Train: skip eval | Valid: time=  0.3s loss=10.036, TAw acc=  0.0% | lr: 0.0100
| Epoch  37, time= 10.8s | Train: skip eval | Valid: time=  0.2s loss=10.103, TAw acc=  0.0% | lr: 0.0100
| Epoch  38, time= 10.6s | Train: skip eval | Valid: time=  0.3s loss=10.642, TAw acc=  0.0% | lr: 0.0100
| Epoch  39, time= 11.2s | Train: skip eval | Valid: time=  0.3s loss=10.124, TAw acc=  0.0% | lr: 0.0100
