Files already downloaded and verified
Files already downloaded and verified
num params: 472756
[(0, 10), (1, 10), (2, 10), (3, 10), (4, 10), (5, 10), (6, 10), (7, 10), (8, 10), (9, 10)]
************************************************************************************************************
Task  0
************************************************************************************************************
| Epoch   1, time=  9.9s | Train: skip eval | Valid: time=  0.2s loss=1.864, TAw acc=  0.0% | *
| Epoch   2, time=  4.5s | Train: skip eval | Valid: time=  0.2s loss=1.586, TAw acc=  0.0% | *
| Epoch   3, time=  4.6s | Train: skip eval | Valid: time=  0.2s loss=1.413, TAw acc=  0.0% | *
| Epoch   4, time=  4.6s | Train: skip eval | Valid: time=  0.2s loss=1.392, TAw acc=  0.0% | *
| Epoch   5, time=  4.7s | Train: skip eval | Valid: time=  0.2s loss=1.239, TAw acc=  0.0% | *
| Epoch   6, time=  4.8s | Train: skip eval | Valid: time=  0.2s loss=1.357, TAw acc=  0.0% |
| Epoch   7, time=  4.8s | Train: skip eval | Valid: time=  0.2s loss=1.174, TAw acc=  0.0% | *
| Epoch   8, time=  4.8s | Train: skip eval | Valid: time=  0.2s loss=1.427, TAw acc=  0.0% |
| Epoch   9, time=  4.7s | Train: skip eval | Valid: time=  0.2s loss=1.374, TAw acc=  0.0% |
| Epoch  10, time=  4.7s | Train: skip eval | Valid: time=  0.2s loss=1.108, TAw acc=  0.0% | *
| Epoch  11, time=  4.6s | Train: skip eval | Valid: time=  0.2s loss=1.021, TAw acc=  0.0% | *
| Epoch  12, time=  4.7s | Train: skip eval | Valid: time=  0.2s loss=1.068, TAw acc=  0.0% |
| Epoch  13, time=  4.7s | Train: skip eval | Valid: time=  0.2s loss=1.080, TAw acc=  0.0% |
| Epoch  14, time=  4.8s | Train: skip eval | Valid: time=  0.2s loss=0.989, TAw acc=  0.0% | *
| Epoch  15, time=  4.7s | Train: skip eval | Valid: time=  0.2s loss=0.869, TAw acc=  0.0% | *
| Epoch  16, time=  4.8s | Train: skip eval | Valid: time=  0.2s loss=1.087, TAw acc=  0.0% |
| Epoch  17, time=  4.7s | Train: skip eval | Valid: time=  0.2s loss=0.849, TAw acc=  0.0% | *
| Epoch  18, time=  4.6s | Train: skip eval | Valid: time=  0.2s loss=0.904, TAw acc=  0.0% |
| Epoch  19, time=  4.6s | Train: skip eval | Valid: time=  0.2s loss=0.878, TAw acc=  0.0% |
| Epoch  20, time=  4.7s | Train: skip eval | Valid: time=  0.2s loss=0.847, TAw acc=  0.0% | *
| Epoch  21, time=  4.6s | Train: skip eval | Valid: time=  0.2s loss=0.826, TAw acc=  0.0% | *
| Epoch  22, time=  4.8s | Train: skip eval | Valid: time=  0.2s loss=0.764, TAw acc=  0.0% | *
| Epoch  23, time=  4.8s | Train: skip eval | Valid: time=  0.2s loss=0.899, TAw acc=  0.0% |
| Epoch  24, time=  4.6s | Train: skip eval | Valid: time=  0.2s loss=0.763, TAw acc=  0.0% | *
| Epoch  25, time=  4.7s | Train: skip eval | Valid: time=  0.2s loss=0.731, TAw acc=  0.0% | *
| Epoch  26, time=  4.8s | Train: skip eval | Valid: time=  0.2s loss=0.676, TAw acc=  0.0% | *
| Epoch  27, time=  4.7s | Train: skip eval | Valid: time=  0.2s loss=0.795, TAw acc=  0.0% |
