Using downloaded and verified file: ./data/tissuemnist/tissuemnist.npz
Using downloaded and verified file: ./data/tissuemnist/tissuemnist.npz
Taskcla:  [(0, 2), (1, 2), (2, 2), (3, 2)]
Number of clients each task:  [10, 10, 10, 10]
************************************************************************************************************
Task  0
************************************************************************************************************
 Epoch: 1 | Train: time= 78.0s | Valid: time=  7.9s loss=0.384, TAw acc=  0.0% |
 Epoch: 2 | Train: time= 72.8s | Valid: time=  7.8s loss=0.365, TAw acc=  0.0% |
 Epoch: 3 | Train: time= 72.3s | Valid: time=  8.3s loss=0.349, TAw acc=  0.0% |
 Epoch: 4 | Train: time= 71.3s | Valid: time=  8.1s loss=0.347, TAw acc=  0.0% |
 Epoch: 5 | Train: time= 71.5s | Valid: time=  8.3s loss=0.338, TAw acc=  0.0% |
 Epoch: 6 | Train: time= 71.5s | Valid: time=  8.2s loss=0.326, TAw acc=  0.0% |
 Epoch: 7 | Train: time= 71.5s | Valid: time=  8.3s loss=0.331, TAw acc=  0.0% |
 Epoch: 8 | Train: time= 71.8s | Valid: time=  8.0s loss=0.356, TAw acc=  0.0% |
 Epoch: 9 | Train: time= 70.8s | Valid: time=  8.4s loss=0.320, TAw acc=  0.0% |
 Epoch: 10 | Train: time= 71.8s | Valid: time=  8.3s loss=0.320, TAw acc=  0.0% |
 Epoch: 11 | Train: time= 71.0s | Valid: time=  8.2s loss=0.317, TAw acc=  0.0% |
 Epoch: 12 | Train: time= 72.3s | Valid: time=  8.3s loss=0.314, TAw acc=  0.0% |
 Epoch: 13 | Train: time= 70.9s | Valid: time=  8.4s loss=0.314, TAw acc=  0.0% |
 Epoch: 14 | Train: time= 70.3s | Valid: time=  8.2s loss=0.365, TAw acc=  0.0% |
 Epoch: 15 | Train: time= 72.5s | Valid: time=  8.3s loss=0.314, TAw acc=  0.0% |
 Epoch: 16 | Train: time= 70.6s | Valid: time=  8.2s loss=0.312, TAw acc=  0.0% |
 Epoch: 17 | Train: time= 70.6s | Valid: time=  8.3s loss=0.308, TAw acc=  0.0% |
 Epoch: 18 | Train: time= 70.7s | Valid: time=  8.3s loss=0.305, TAw acc=  0.0% |
 Epoch: 19 | Train: time= 70.2s | Valid: time=  8.0s loss=0.321, TAw acc=  0.0% |
 Epoch: 20 | Train: time= 70.8s | Valid: time=  8.1s loss=0.306, TAw acc=  0.0% |
 Epoch: 21 | Train: time= 70.8s | Valid: time=  8.3s loss=0.333, TAw acc=  0.0% |
 Epoch: 22 | Train: time= 71.0s | Valid: time=  8.0s loss=0.332, TAw acc=  0.0% |
 Epoch: 23 | Train: time= 70.3s | Valid: time=  8.4s loss=0.310, TAw acc=  0.0% |
 Epoch: 24 | Train: time= 71.1s | Valid: time=  8.2s loss=0.324, TAw acc=  0.0% |
 Epoch: 25 | Train: time= 70.2s | Valid: time=  8.2s loss=0.297, TAw acc=  0.0% |
 Epoch: 26 | Train: time= 70.0s | Valid: time=  8.1s loss=0.310, TAw acc=  0.0% |
 Epoch: 27 | Train: time= 70.9s | Valid: time=  8.4s loss=0.297, TAw acc=  0.0% |
 Epoch: 28 | Train: time= 71.0s | Valid: time=  8.4s loss=0.312, TAw acc=  0.0% |
 Epoch: 29 | Train: time= 71.3s | Valid: time=  8.3s loss=0.340, TAw acc=  0.0% |
 Epoch: 30 | Train: time= 70.4s | Valid: time=  8.4s loss=0.299, TAw acc=  0.0% |
 Epoch: 31 | Train: time= 70.3s | Valid: time=  8.2s loss=0.312, TAw acc=  0.0% |
 Epoch: 32 | Train: time= 70.0s | Valid: time=  8.2s loss=0.309, TAw acc=  0.0% |
 Epoch: 33 | Train: time= 71.1s | Valid: time=  8.5s loss=0.326, TAw acc=  0.0% |
 Epoch: 34 | Train: time= 70.6s | Valid: time=  8.5s loss=0.297, TAw acc=  0.0% |
 Epoch: 35 | Train: time= 71.3s | Valid: time=  8.2s loss=0.289, TAw acc=  0.0% |
 Epoch: 36 | Train: time= 70.9s | Valid: time=  8.4s loss=0.288, TAw acc=  0.0% |
 Epoch: 37 | Train: time= 70.2s | Valid: time=  8.4s loss=0.291, TAw acc=  0.0% |
 Epoch: 38 | Train: time= 71.3s | Valid: time=  8.3s loss=0.287, TAw acc=  0.0% |
 Epoch: 39 | Train: time= 70.6s | Valid: time=  8.1s loss=0.291, TAw acc=  0.0% |
 Epoch: 40 | Train: time= 70.6s | Valid: time=  8.3s loss=0.286, TAw acc=  0.0% |
 Epoch: 41 | Train: time= 71.2s | Valid: time=  8.1s loss=0.292, TAw acc=  0.0% |
 Epoch: 42 | Train: time= 70.3s | Valid: time=  8.6s loss=0.288, TAw acc=  0.0% |
 Epoch: 43 | Train: time= 70.9s | Valid: time=  8.7s loss=0.286, TAw acc=  0.0% |
 Epoch: 44 | Train: time= 70.9s | Valid: time=  8.3s loss=0.289, TAw acc=  0.0% |
 Epoch: 45 | Train: time= 70.9s | Valid: time=  8.1s loss=0.288, TAw acc=  0.0% |
 Epoch: 46 | Train: time= 72.5s | Valid: time=  8.8s loss=0.288, TAw acc=  0.0% |
 Epoch: 47 | Train: time= 73.2s | Valid: time=  8.6s loss=0.286, TAw acc=  0.0% |
 Epoch: 48 | Train: time= 73.0s | Valid: time=  8.7s loss=0.286, TAw acc=  0.0% |
 Epoch: 49 | Train: time= 73.6s | Valid: time=  8.7s loss=0.287, TAw acc=  0.0% |
 Epoch: 50 | Train: time= 73.2s | Valid: time=  8.7s loss=0.288, TAw acc=  0.0% |
num_cls : 0
num_exemplars:  600
