Using downloaded and verified file: ./data/bloodmnist/bloodmnist.npz
Using downloaded and verified file: ./data/bloodmnist/bloodmnist.npz
Taskcla:  [(0, 2), (1, 2), (2, 2), (3, 2)]
Number of clients each task:  [10, 10, 10, 10]
************************************************************************************************************
Task  0
************************************************************************************************************
 Epoch: 1 | Train: time= 14.3s | Valid: time=  5.0s loss=0.345, TAw acc=  0.0% |
 Epoch: 2 | Train: time=  9.9s | Valid: time=  4.9s loss=0.093, TAw acc=  0.0% |
 Epoch: 3 | Train: time= 10.1s | Valid: time=  4.8s loss=0.057, TAw acc=  0.0% |
 Epoch: 4 | Train: time= 10.1s | Valid: time=  5.0s loss=0.076, TAw acc=  0.0% |
 Epoch: 5 | Train: time=  9.7s | Valid: time=  4.8s loss=0.093, TAw acc=  0.0% |
 Epoch: 6 | Train: time=  9.9s | Valid: time=  5.3s loss=0.024, TAw acc=  0.0% |
 Epoch: 7 | Train: time=  9.9s | Valid: time=  4.9s loss=0.099, TAw acc=  0.0% |
 Epoch: 8 | Train: time= 10.0s | Valid: time=  4.9s loss=0.057, TAw acc=  0.0% |
 Epoch: 9 | Train: time= 10.0s | Valid: time=  4.9s loss=0.008, TAw acc=  0.0% |
 Epoch: 10 | Train: time= 10.1s | Valid: time=  4.7s loss=0.032, TAw acc=  0.0% |
 Epoch: 11 | Train: time= 10.0s | Valid: time=  4.7s loss=0.025, TAw acc=  0.0% |
 Epoch: 12 | Train: time=  9.9s | Valid: time=  4.9s loss=0.012, TAw acc=  0.0% |
 Epoch: 13 | Train: time=  9.9s | Valid: time=  4.8s loss=0.786, TAw acc=  0.0% |
 Epoch: 14 | Train: time=  9.7s | Valid: time=  5.0s loss=0.061, TAw acc=  0.0% |
 Epoch: 15 | Train: time=  9.9s | Valid: time=  4.9s loss=0.015, TAw acc=  0.0% |
 Epoch: 16 | Train: time=  9.7s | Valid: time=  5.1s loss=0.020, TAw acc=  0.0% |
 Epoch: 17 | Train: time=  9.8s | Valid: time=  5.1s loss=0.103, TAw acc=  0.0% |
 Epoch: 18 | Train: time=  9.8s | Valid: time=  5.1s loss=0.014, TAw acc=  0.0% |
 Epoch: 19 | Train: time= 10.0s | Valid: time=  5.4s loss=0.011, TAw acc=  0.0% |
 Epoch: 20 | Train: time= 10.0s | Valid: time=  5.0s loss=0.009, TAw acc=  0.0% |
 Epoch: 21 | Train: time=  9.7s | Valid: time=  5.1s loss=0.130, TAw acc=  0.0% |
 Epoch: 22 | Train: time= 10.1s | Valid: time=  4.8s loss=0.007, TAw acc=  0.0% |
 Epoch: 23 | Train: time= 10.3s | Valid: time=  4.8s loss=6.118, TAw acc=  0.0% |
 Epoch: 24 | Train: time= 10.3s | Valid: time=  4.6s loss=0.024, TAw acc=  0.0% |
 Epoch: 25 | Train: time=  9.9s | Valid: time=  4.8s loss=0.012, TAw acc=  0.0% |
 Epoch: 26 | Train: time= 10.2s | Valid: time=  4.9s loss=0.009, TAw acc=  0.0% |
 Epoch: 27 | Train: time=  9.8s | Valid: time=  4.8s loss=0.004, TAw acc=  0.0% |
 Epoch: 28 | Train: time= 10.1s | Valid: time=  4.8s loss=0.019, TAw acc=  0.0% |
 Epoch: 29 | Train: time=  9.9s | Valid: time=  4.7s loss=0.023, TAw acc=  0.0% |
 Epoch: 30 | Train: time= 10.1s | Valid: time=  4.9s loss=0.027, TAw acc=  0.0% |
 Epoch: 31 | Train: time= 10.0s | Valid: time=  4.9s loss=0.031, TAw acc=  0.0% |
 Epoch: 32 | Train: time= 10.2s | Valid: time=  5.6s loss=0.021, TAw acc=  0.0% |
 Epoch: 33 | Train: time= 10.3s | Valid: time=  5.7s loss=0.008, TAw acc=  0.0% |
 Epoch: 34 | Train: time= 10.2s | Valid: time=  5.8s loss=0.007, TAw acc=  0.0% |
 Epoch: 35 | Train: time= 10.3s | Valid: time=  5.6s loss=0.005, TAw acc=  0.0% |
 Epoch: 36 | Train: time= 10.2s | Valid: time=  5.5s loss=0.003, TAw acc=  0.0% |
 Epoch: 37 | Train: time= 10.4s | Valid: time=  5.4s loss=0.004, TAw acc=  0.0% |
 Epoch: 38 | Train: time= 10.1s |
