Using downloaded and verified file: ./data/bloodmnist/bloodmnist.npz
Using downloaded and verified file: ./data/bloodmnist/bloodmnist.npz
Taskcla:  [(0, 2), (1, 2), (2, 2), (3, 2)]
Number of clients each task:  [10, 10, 10, 10]
************************************************************************************************************
Task  0
************************************************************************************************************
 Epoch: 1 | Train: time= 17.4s | Valid: time=  5.6s loss=0.148, TAw acc=  0.0% |
 Epoch: 2 | Train: time= 10.7s | Valid: time=  6.1s loss=5.279, TAw acc=  0.0% |
 Epoch: 3 | Train: time= 10.8s | Valid: time=  5.8s loss=4.347, TAw acc=  0.0% |
 Epoch: 4 | Train: time= 10.9s | Valid: time=  5.9s loss=0.125, TAw acc=  0.0% |
 Epoch: 5 | Train: time= 10.7s | Valid: time=  5.9s loss=0.324, TAw acc=  0.0% |
 Epoch: 6 | Train: time= 11.2s | Valid: time=  6.1s loss=0.062, TAw acc=  0.0% |
 Epoch: 7 | Train: time= 11.1s | Valid: time=  6.1s loss=0.449, TAw acc=  0.0% |
 Epoch: 8 | Train: time= 11.4s | Valid: time=  6.1s loss=0.086, TAw acc=  0.0% |
 Epoch: 9 | Train: time= 11.3s | Valid: time=  6.0s loss=1.873, TAw acc=  0.0% |
 Epoch: 10 | Train: time= 11.0s | Valid: time=  5.9s loss=0.199, TAw acc=  0.0% |
 Epoch: 11 | Train: time= 11.5s | Valid: time=  6.0s loss=0.186, TAw acc=  0.0% |
 Epoch: 12 | Train: time= 11.1s | Valid: time=  6.2s loss=0.385, TAw acc=  0.0% |
 Epoch: 13 | Train: time= 11.4s | Valid: time=  6.4s loss=0.050, TAw acc=  0.0% |
 Epoch: 14 | Train: time= 11.7s | Valid: time=  5.9s loss=0.047, TAw acc=  0.0% |
 Epoch: 15 | Train: time= 11.3s | Valid: time=  5.7s loss=0.036, TAw acc=  0.0% |
 Epoch: 16 | Train: time= 10.9s | Valid: time=  5.9s loss=0.035, TAw acc=  0.0% |
 Epoch: 17 | Train: time= 11.4s | Valid: time=  5.8s loss=0.186, TAw acc=  0.0% |
 Epoch: 18 | Train: time= 11.5s | Valid: time=  5.9s loss=0.042, TAw acc=  0.0% |
 Epoch: 19 | Train: time= 11.6s | Valid: time=  6.0s loss=0.024, TAw acc=  0.0% |
 Epoch: 20 | Train: time= 10.6s | Valid: time=  6.2s loss=0.016, TAw acc=  0.0% |
 Epoch: 21 | Train: time= 11.2s | Valid: time=  5.8s loss=0.043, TAw acc=  0.0% |
 Epoch: 22 | Train: time= 11.2s | Valid: time=  6.2s loss=0.022, TAw acc=  0.0% |
