Files already downloaded and verified
Files already downloaded and verified
Taskcla:  [(0, 10), (1, 10), (2, 10), (3, 10), (4, 10), (5, 10), (6, 10), (7, 10), (8, 10), (9, 10)]
Number of clients each task:  [10, 10, 10, 10, 10, 10, 10, 10, 10, 10]
************************************************************************************************************
Task  0
************************************************************************************************************
 Epoch: 1 | Train: time= 14.4s | Valid: time=  4.6s loss=2.855, TAw acc=  0.0% |
 Epoch: 2 | Train: time= 10.6s | Valid: time=  4.5s loss=2.813, TAw acc=  0.0% |
 Epoch: 3 | Train: time= 10.5s | Valid: time=  4.5s loss=2.496, TAw acc=  0.0% |
 Epoch: 4 | Train: time= 10.5s | Valid: time=  4.5s loss=1.908, TAw acc=  0.0% |
 Epoch: 5 | Train: time= 10.3s | Valid: time=  4.6s loss=2.206, TAw acc=  0.0% |
 Epoch: 6 | Train: time= 10.5s | Valid: time=  4.5s loss=2.114, TAw acc=  0.0% |
 Epoch: 7 | Train: time= 10.4s | Valid: time=  4.5s loss=1.697, TAw acc=  0.0% |
 Epoch: 8 | Train: time= 10.5s | Valid: time=  4.6s loss=2.354, TAw acc=  0.0% |
 Epoch: 9 | Train: time= 10.4s | Valid: time=  4.6s loss=1.472, TAw acc=  0.0% |
 Epoch: 10 | Train: time= 10.5s | Valid: time=  4.5s loss=1.702, TAw acc=  0.0% |
 Epoch: 11 | Train: time= 10.5s | Valid: time=  4.5s loss=2.293, TAw acc=  0.0% |
 Epoch: 12 | Train: time= 10.4s | Valid: time=  4.5s loss=1.507, TAw acc=  0.0% |
 Epoch: 13 | Train: time= 10.6s | Valid: time=  4.5s loss=3.228, TAw acc=  0.0% |
 Epoch: 14 | Train: time= 10.6s | Valid: time=  4.5s loss=1.946, TAw acc=  0.0% |
 Epoch: 15 | Train: time= 10.5s | Valid: time=  4.6s loss=2.660, TAw acc=  0.0% |
 Epoch: 16 | Train: time= 10.6s | Valid: time=  4.5s loss=1.809, TAw acc=  0.0% |
 Epoch: 17 | Train: time= 10.5s | Valid: time=  4.6s loss=1.560, TAw acc=  0.0% |
 Epoch: 18 | Train: time= 10.4s | Valid: time=  4.6s loss=1.797, TAw acc=  0.0% |
 Epoch: 19 | Train: time= 10.3s | Valid: time=  4.6s loss=2.423, TAw acc=  0.0% |
 Epoch: 20 | Train: time= 10.6s | Valid: time=  4.5s loss=1.917, TAw acc=  0.0% |
 Epoch: 21 | Train: time= 10.5s | Valid: time=  4.5s loss=1.929, TAw acc=  0.0% |
 Epoch: 22 | Train: time= 10.5s | Valid: time=  4.5s loss=1.658, TAw acc=  0.0% |
 Epoch: 23 | Train: time= 10.3s | Valid: time=  4.5s loss=1.158, TAw acc=  0.0% |
 Epoch: 24 | Train: time= 10.3s | Valid: time=  4.6s loss=1.664, TAw acc=  0.0% |
 Epoch: 25 | Train: time= 10.3s | Valid: time=  4.6s loss=1.348, TAw acc=  0.0% |
 Epoch: 26 | Train: time= 10.5s | Valid: time=  4.8s loss=1.380, TAw acc=  0.0% |
 Epoch: 27 | Train: time= 10.6s | Valid: time=  4.6s loss=1.516, TAw acc=  0.0% |
 Epoch: 28 | Train: time= 10.6s | Valid: time=  4.6s loss=1.927, TAw acc=  0.0% |
 Epoch: 29 | Train: time= 10.4s | Valid: time=  4.9s loss=1.661, TAw acc=  0.0% |
 Epoch: 30 | Train: time= 10.6s | Valid: time=  4.6s loss=1.228, TAw acc=  0.0% |
 Epoch: 31 | Train: time= 10.5s | Valid: time=  4.7s loss=4.603, TAw acc=  0.0% |
 Epoch: 32 | Train: time= 10.6s | Valid: time=  5.0s loss=1.755, TAw acc=  0.0% |
 Epoch: 33 | Train: time= 10.8s | Valid: time=  4.7s loss=1.127, TAw acc=  0.0% |
 Epoch: 34 | Train: time= 10.4s | Valid: time=  4.6s loss=1.577, TAw acc=  0.0% |
 Epoch: 35 | Train: time= 10.7s | Valid: time=  5.0s loss=1.010, TAw acc=  0.0% |
 Epoch: 36 | Train: time= 10.7s | Valid: time=  4.7s loss=1.060, TAw acc=  0.0% |
 Epoch: 37 | Train: time= 10.5s | Valid: time=  4.7s loss=1.048, TAw acc=  0.0% |
 Epoch: 38 | Train: time= 11.1s | Valid: time=  5.0s loss=1.024, TAw acc=  0.0% |
 Epoch: 39 | Train: time= 10.8s | Valid: time=  4.8s loss=1.015, TAw acc=  0.0% |
 Epoch: 40 | Train: time= 10.7s | Valid: time=  4.6s loss=1.124, TAw acc=  0.0% |
 Epoch: 41 | Train: time= 10.8s | Valid: time=  4.8s loss=1.028, TAw acc=  0.0% |
 Epoch: 42 | Train: time= 10.8s | Valid: time=  4.8s loss=1.144, TAw acc=  0.0% |
 Epoch: 43 | Train: time= 10.6s | Valid: time=  4.9s loss=1.000, TAw acc=  0.0% |
 Epoch: 44 | Train: time= 10.6s | Valid: time=  4.7s loss=1.033, TAw acc=  0.0% |
 Epoch: 45 | Train: time= 10.6s | Valid: time=  4.7s loss=1.071, TAw acc=  0.0% |
 Epoch: 46 | Train: time= 10.8s | Valid: time=  4.9s loss=1.038, TAw acc=  0.0% |
 Epoch: 47 | Train: time= 10.3s | Valid: time=  4.5s loss=1.068, TAw acc=  0.0% |
 Epoch: 48 | Train: time= 10.2s | Valid: time=  4.7s loss=0.989, TAw acc=  0.0% |
 Epoch: 49 | Train: time= 10.6s | Valid: time=  4.8s loss=0.998, TAw acc=  0.0% |
 Epoch: 50 | Train: time= 10.9s | Valid: time=  4.8s loss=1.156, TAw acc=  0.0% |
------------------------------------------------------------------------------------------------------------
>>> Test on task  0 : loss=0.753 | TAw acc=  0.0%, forg=  0.0%| TAg acc=: 75.3%, forg=  0.0% <<<
Save at ./results/20241205_der_csl_noexem/cifar100/cifar100_icarl_der_split_dp_noexem_grow_csl_1
************************************************************************************************************
Task  1
************************************************************************************************************
 Epoch: 1 | Train: time= 10.7s | Valid: time=  4.7s loss=2.005, TAw acc=  0.0% |
 Epoch: 2 | Train: time= 10.7s | Valid: time=  5.0s loss=2.381, TAw acc=  0.0% |
 Epoch: 3 | Train: time= 10.7s | Valid: time=  4.7s loss=1.922, TAw acc=  0.0% |
 Epoch: 4 | Train: time= 11.1s | Valid: time=  4.9s loss=1.614, TAw acc=  0.0% |
 Epoch: 5 | Train: time= 10.4s | Valid: time=  4.9s loss=2.092, TAw acc=  0.0% |
 Epoch: 6 | Train: time= 10.9s | Valid: time=  4.8s loss=1.829, TAw acc=  0.0% |
 Epoch: 7 | Train: time= 10.6s | Valid: time=  4.7s loss=1.579, TAw acc=  0.0% |
 Epoch: 8 | Train: time= 10.9s | Valid: time=  4.9s loss=1.972, TAw acc=  0.0% |
 Epoch: 9 | Train: time= 10.6s | Valid: time=  4.7s loss=2.498, TAw acc=  0.0% |
 Epoch: 10 | Train: time= 11.0s | Valid: time=  4.7s loss=2.166, TAw acc=  0.0% |
 Epoch: 11 | Train: time= 10.9s | Valid: time=  4.7s loss=1.794, TAw acc=  0.0% |
 Epoch: 12 | Train: time= 10.7s | Valid: time=  4.7s loss=3.137, TAw acc=  0.0% |
 Epoch: 13 | Train: time= 11.1s | Valid: time=  4.8s loss=2.230, TAw acc=  0.0% |
 Epoch: 14 | Train: time= 10.5s | Valid: time=  4.7s loss=1.937, TAw acc=  0.0% |
 Epoch: 15 | Train: time= 10.3s | Valid: time=  4.9s loss=1.955, TAw acc=  0.0% |
 Epoch: 16 | Train: time= 10.7s | Valid: time=  4.7s loss=2.239, TAw acc=  0.0% |
 Epoch: 17 | Train: time= 10.7s | Valid: time=  4.7s loss=2.301, TAw acc=  0.0% |
 Epoch: 18 | Train: time= 10.4s | Valid: time=  4.8s loss=1.379, TAw acc=  0.0% |
 Epoch: 19 | Train: time= 10.6s | Valid: time=  4.7s loss=1.422, TAw acc=  0.0% |
 Epoch: 20 | Train: time= 11.2s | Valid: time=  4.7s loss=1.516, TAw acc=  0.0% |
 Epoch: 21 | Train: time= 10.6s | Valid: time=  4.9s loss=1.570, TAw acc=  0.0% |
 Epoch: 22 | Train: time= 10.8s | Valid: time=  4.8s loss=1.672, TAw acc=  0.0% |
 Epoch: 23 | Train: time= 10.9s | Valid: time=  4.8s loss=1.638, TAw acc=  0.0% |
 Epoch: 24 | Train: time= 10.9s | Valid: time=  4.6s loss=1.442, TAw acc=  0.0% |
 Epoch: 25 | Train: time= 10.8s | Valid: time=  4.8s loss=2.020, TAw acc=  0.0% |
 Epoch: 26 | Train: time= 11.0s | Valid: time=  4.7s loss=1.381, TAw acc=  0.0% |
 Epoch: 27 | Train: time= 10.7s | Valid: time=  4.6s loss=1.630, TAw acc=  0.0% |
 Epoch: 28 | Train: time= 11.0s | Valid: time=  4.9s loss=1.524, TAw acc=  0.0% |
 Epoch: 29 | Train: time= 11.1s | Valid: time=  4.7s loss=1.205, TAw acc=  0.0% |
 Epoch: 30 | Train: time= 10.9s | Valid: time=  4.7s loss=1.422, TAw acc=  0.0% |
 Epoch: 31 | Train: time= 10.7s | Valid: time=  4.9s loss=1.640, TAw acc=  0.0% |
 Epoch: 32 | Train: time= 10.8s | Valid: time=  4.8s loss=1.728, TAw acc=  0.0% |
 Epoch: 33 | Train: time= 10.9s | Valid: time=  4.7s loss=1.977, TAw acc=  0.0% |
 Epoch: 34 | Train: time= 10.6s | Valid: time=  5.1s loss=1.787, TAw acc=  0.0% |
 Epoch: 35 | Train: time= 10.8s | Valid: time=  4.7s loss=1.030, TAw acc=  0.0% |
 Epoch: 36 | Train: time= 10.9s | Valid: time=  4.7s loss=1.097, TAw acc=  0.0% |
 Epoch: 37 | Train: time= 10.7s | Valid: time=  4.8s loss=1.105, TAw acc=  0.0% |
 Epoch: 38 | Train: time= 10.8s | Valid: time=  4.8s loss=1.070, TAw acc=  0.0% |
 Epoch: 39 | Train: time= 10.3s | Valid: time=  4.9s loss=1.061, TAw acc=  0.0% |
 Epoch: 40 | Train: time= 10.9s | Valid: time=  4.9s loss=1.049, TAw acc=  0.0% |
 Epoch: 41 | Train: time= 10.9s | Valid: time=  4.8s loss=1.000, TAw acc=  0.0% |
 Epoch: 42 | Train: time= 10.8s | Valid: time=  4.8s loss=1.008, TAw acc=  0.0% |
 Epoch: 43 | Train: time= 11.2s | Valid: time=  4.8s loss=1.153, TAw acc=  0.0% |
 Epoch: 44 | Train: time= 10.7s | Valid: time=  4.7s loss=1.022, TAw acc=  0.0% |
 Epoch: 45 | Train: time= 10.7s | Valid: time=  4.6s loss=1.009, TAw acc=  0.0% |
 Epoch: 46 | Train: time= 11.0s | Valid: time=  4.7s loss=1.007, TAw acc=  0.0% |
 Epoch: 47 | Train: time= 10.5s | Valid: time=  4.6s loss=1.076, TAw acc=  0.0% |
 Epoch: 48 | Train: time= 10.7s | Valid: time=  4.8s loss=1.046, TAw acc=  0.0% |
 Epoch: 49 | Train: time= 10.5s | Valid: time=  4.9s loss=1.098, TAw acc=  0.0% |
 Epoch: 50 | Train: time= 10.6s | Valid: time=  4.6s loss=1.011, TAw acc=  0.0% |
------------------------------------------------------------------------------------------------------------
>>> Test on task  0 : loss=12.242 | TAw acc=  0.0%, forg=  0.0%| TAg acc=:  0.0%, forg= 75.3% <<<
>>> Test on task  1 : loss=1.211 | TAw acc=  0.0%, forg=  0.0%| TAg acc=: 60.9%, forg=  0.0% <<<
Save at ./results/20241205_der_csl_noexem/cifar100/cifar100_icarl_der_split_dp_noexem_grow_csl_1
************************************************************************************************************
Task  2
************************************************************************************************************
 Epoch: 1 | Train: time= 11.1s | Valid: time=  4.8s loss=1.390, TAw acc=  0.0% |
 Epoch: 2 | Train: time= 11.1s | Valid: time=  4.9s loss=1.462, TAw acc=  0.0% |
 Epoch: 3 | Train: time= 10.9s | Valid: time=  4.8s loss=1.365, TAw acc=  0.0% |
 Epoch: 4 | Train: time= 10.4s | Valid: time=  4.8s loss=1.341, TAw acc=  0.0% |
 Epoch: 5 | Train: time= 11.0s | Valid: time=  4.7s loss=1.699, TAw acc=  0.0% |
 Epoch: 6 | Train: time= 10.7s | Valid: time=  4.9s loss=1.323, TAw acc=  0.0% |
 Epoch: 7 | Train: time= 10.7s | Valid: time=  4.7s loss=1.697, TAw acc=  0.0% |
 Epoch: 8 | Train: time= 10.7s | Valid: time=  4.8s loss=1.162, TAw acc=  0.0% |
 Epoch: 9 | Train: time= 10.9s | Valid: time=  5.0s loss=1.035, TAw acc=  0.0% |
 Epoch: 10 | Train: time= 10.8s | Valid: time=  4.8s loss=1.142, TAw acc=  0.0% |
 Epoch: 11 | Train: time= 10.3s | Valid: time=  4.7s loss=0.917, TAw acc=  0.0% |
 Epoch: 12 | Train: time= 10.8s | Valid: time=  5.1s loss=1.330, TAw acc=  0.0% |
 Epoch: 13 | Train: time= 11.0s | Valid: time=  4.8s loss=0.807, TAw acc=  0.0% |
 Epoch: 14 | Train: time= 10.8s | Valid: time=  4.6s loss=3.260, TAw acc=  0.0% |
 Epoch: 15 | Train: time= 10.5s | Valid: time=  5.1s loss=1.472, TAw acc=  0.0% |
 Epoch: 16 | Train: time= 10.8s | Valid: time=  4.8s loss=1.233, TAw acc=  0.0% |
 Epoch: 17 | Train: time= 10.9s | Valid: time=  4.6s loss=0.973, TAw acc=  0.0% |
