Taskcla:  [(0, 3), (1, 2), (2, 2)]
Number of clients each task:  [10, 10, 10]
************************************************************************************************************
Task  0
************************************************************************************************************
 Epoch: 1 | Train: time= 77.2s | Valid: time= 13.4s loss=0.793, TAw acc=  0.0% |
 Epoch: 2 | Train: time= 72.6s | Valid: time= 13.1s loss=0.722, TAw acc=  0.0% |
 Epoch: 3 | Train: time= 71.1s | Valid: time= 13.4s loss=0.689, TAw acc=  0.0% |
 Epoch: 4 | Train: time= 71.5s | Valid: time= 12.9s loss=0.645, TAw acc=  0.0% |
 Epoch: 5 | Train: time= 71.4s | Valid: time= 13.4s loss=0.730, TAw acc=  0.0% |
 Epoch: 6 | Train: time= 71.2s | Valid: time= 12.8s loss=0.988, TAw acc=  0.0% |
 Epoch: 7 | Train: time= 70.7s | Valid: time= 13.0s loss=0.769, TAw acc=  0.0% |
 Epoch: 8 | Train: time= 71.3s | Valid: time= 12.9s loss=0.849, TAw acc=  0.0% |
 Epoch: 9 | Train: time= 70.6s | Valid: time= 12.9s loss=0.900, TAw acc=  0.0% |
 Epoch: 10 | Train: time= 71.2s | Valid: time= 12.8s loss=0.749, TAw acc=  0.0% |
 Epoch: 11 | Train: time= 71.3s | Valid: time= 12.8s loss=1.196, TAw acc=  0.0% |
 Epoch: 12 | Train: time= 72.3s | Valid: time= 13.1s loss=1.023, TAw acc=  0.0% |
 Epoch: 13 | Train: time= 72.8s | Valid: time= 12.8s loss=1.187, TAw acc=  0.0% |
 Epoch: 14 | Train: time= 71.7s | Valid: time= 12.8s loss=1.033, TAw acc=  0.0% |
 Epoch: 15 | Train: time= 72.7s | Valid: time= 13.0s loss=1.025, TAw acc=  0.0% |
 Epoch: 16 | Train: time= 72.2s | Valid: time= 13.1s loss=3.991, TAw acc=  0.0% |
 Epoch: 17 | Train: time= 71.8s | Valid: time= 13.1s loss=1.118, TAw acc=  0.0% |
 Epoch: 18 | Train: time= 72.0s | Valid: time= 13.3s loss=1.342, TAw acc=  0.0% |
 Epoch: 19 | Train: time= 71.1s | Valid: time= 13.1s loss=1.174, TAw acc=  0.0% |
 Epoch: 20 | Train: time= 72.3s | Valid: time= 13.0s loss=1.191, TAw acc=  0.0% |
 Epoch: 21 | Train: time= 72.5s | Valid: time= 13.1s loss=1.238, TAw acc=  0.0% |
 Epoch: 22 | Train: time= 71.4s | Valid: time= 13.4s loss=1.146, TAw acc=  0.0% |
 Epoch: 23 | Train: time= 72.2s | Valid: time= 12.7s loss=1.604, TAw acc=  0.0% |
 Epoch: 24 | Train: time= 70.5s | Valid: time= 12.8s loss=1.818, TAw acc=  0.0% |
 Epoch: 25 | Train: time= 71.7s | Valid: time= 12.9s loss=1.327, TAw acc=  0.0% |
 Epoch: 26 | Train: time= 71.3s | Valid: time= 12.8s loss=1.282, TAw acc=  0.0% |
 Epoch: 27 | Train: time= 71.7s | Valid: time= 12.6s loss=1.321, TAw acc=  0.0% |
 Epoch: 28 | Train: time= 71.1s | Valid: time= 12.9s loss=1.786, TAw acc=  0.0% |
 Epoch: 29 | Train: time= 71.5s | Valid: time= 13.2s loss=1.429, TAw acc=  0.0% |
 Epoch: 30 | Train: time= 72.0s | Valid: time= 12.8s loss=1.295, TAw acc=  0.0% |
 Epoch: 31 | Train: time= 71.1s | Valid: time= 13.5s loss=1.341, TAw acc=  0.0% |
 Epoch: 32 | Train: time= 71.4s | Valid: time= 13.1s loss=1.386, TAw acc=  0.0% |
 Epoch: 33 | Train: time= 73.4s | Valid: time= 12.9s loss=1.378, TAw acc=  0.0% |
 Epoch: 34 | Train: time= 71.9s | Valid: time= 13.3s loss=1.709, TAw acc=  0.0% |
 Epoch: 35 | Train: time= 71.3s | Valid: time= 13.2s loss=1.267, TAw acc=  0.0% |
 Epoch: 36 | Train: time= 71.2s | Valid: time= 12.6s loss=1.254, TAw acc=  0.0% |
 Epoch: 37 | Train: time= 71.7s | Valid: time= 13.0s loss=1.265, TAw acc=  0.0% |
 Epoch: 38 | Train: time= 72.4s | Valid: time= 13.4s loss=1.277, TAw acc=  0.0% |
 Epoch: 39 | Train: time= 71.3s | Valid: time= 12.7s loss=1.262, TAw acc=  0.0% |
 Epoch: 40 | Train: time= 73.4s | Valid: time= 13.3s loss=1.291, TAw acc=  0.0% |
 Epoch: 41 | Train: time= 71.8s | Valid: time= 13.1s loss=1.279, TAw acc=  0.0% |
 Epoch: 42 | Train: time= 71.6s | Valid: time= 13.0s loss=1.259, TAw acc=  0.0% |
 Epoch: 43 | Train: time= 71.7s | Valid: time= 13.3s loss=1.281, TAw acc=  0.0% |
 Epoch: 44 | Train: time= 70.7s | Valid: time= 13.2s loss=1.268, TAw acc=  0.0% |
 Epoch: 45 | Train: time= 71.8s | Valid: time= 13.4s loss=1.264, TAw acc=  0.0% |
 Epoch: 46 | Train: time= 70.9s | Valid: time= 13.1s loss=1.279, TAw acc=  0.0% |
 Epoch: 47 | Train: time= 72.2s | Valid: time= 13.1s loss=1.273, TAw acc=  0.0% |
 Epoch: 48 | Train: time= 71.4s | Valid: time= 12.8s loss=1.272, TAw acc=  0.0% |
 Epoch: 49 | Train: time= 71.1s | Valid: time= 12.9s loss=1.270, TAw acc=  0.0% |
 Epoch: 50 | Train: time= 72.2s | Valid: time= 13.5s loss=1.257, TAw acc=  0.0% |
------------------------------------------------------------------------------------------------------------
>>> Test on task  0 : loss=0.796 | TAw acc=  0.0%, forg=  0.0%| TAg acc=: 84.9%, forg=  0.0% <<<
Save at ./results/20241119_der_csl/ham10000/ham10000_der_split_dp_noexem_grow_csl_3
************************************************************************************************************
Task  1
************************************************************************************************************
 Epoch: 1 | Train: time= 46.4s | Valid: time= 10.7s loss=0.405, TAw acc=  0.0% |
 Epoch: 2 | Train: time= 46.6s | Valid: time= 10.0s loss=0.427, TAw acc=  0.0% |
 Epoch: 3 | Train: time= 46.7s | Valid: time= 10.4s loss=0.357, TAw acc=  0.0% |
 Epoch: 4 | Train: time= 47.8s | Valid: time= 10.2s loss=0.456, TAw acc=  0.0% |
 Epoch: 5 | Train: time= 47.0s | Valid: time= 10.1s loss=0.568, TAw acc=  0.0% |
 Epoch: 6 | Train: time= 47.9s | Valid: time= 10.4s loss=0.611, TAw acc=  0.0% |
 Epoch: 7 | Train: time= 46.5s | Valid: time= 10.3s loss=1.025, TAw acc=  0.0% |
 Epoch: 8 | Train: time= 46.6s | Valid: time= 10.2s loss=0.743, TAw acc=  0.0% |
 Epoch: 9 | Train: time= 47.6s | Valid: time=  9.7s loss=0.749, TAw acc=  0.0% |
 Epoch: 10 | Train: time= 45.9s | Valid: time= 10.4s loss=0.470, TAw acc=  0.0% |
 Epoch: 11 | Train: time= 48.6s | Valid: time= 10.4s loss=0.429, TAw acc=  0.0% |
 Epoch: 12 | Train: time= 47.4s | Valid: time= 10.2s loss=0.671, TAw acc=  0.0% |
 Epoch: 13 | Train: time= 47.2s | Valid: time= 10.5s loss=0.456, TAw acc=  0.0% |
 Epoch: 14 | Train: time= 47.1s | Valid: time= 10.2s loss=0.536, TAw acc=  0.0% |
 Epoch: 15 | Train: time= 46.8s | Valid: time= 10.4s loss=0.440, TAw acc=  0.0% |
 Epoch: 16 | Train: time= 48.2s | Valid: time= 10.2s loss=0.471, TAw acc=  0.0% |
 Epoch: 17 | Train: time= 46.5s | Valid: time= 10.3s loss=0.458, TAw acc=  0.0% |
 Epoch: 18 | Train: time= 46.3s | Valid: time= 10.5s loss=0.411, TAw acc=  0.0% |
 Epoch: 19 | Train: time= 46.3s | Valid: time= 10.4s loss=0.449, TAw acc=  0.0% |
 Epoch: 20 | Train: time= 47.4s | Valid: time=  9.9s loss=0.444, TAw acc=  0.0% |
 Epoch: 21 | Train: time= 47.5s | Valid: time= 10.0s loss=0.530, TAw acc=  0.0% |
 Epoch: 22 | Train: time= 47.8s | Valid: time= 10.0s loss=0.849, TAw acc=  0.0% |
 Epoch: 23 | Train: time= 46.3s | Valid: time= 10.4s loss=0.466, TAw acc=  0.0% |
 Epoch: 24 | Train: time= 46.9s | Valid: time= 10.1s loss=0.569, TAw acc=  0.0% |
 Epoch: 25 | Train: time= 46.8s | Valid: time= 10.3s loss=0.399, TAw acc=  0.0% |
 Epoch: 26 | Train: time= 46.8s | Valid: time= 10.5s loss=0.457, TAw acc=  0.0% |
 Epoch: 27 | Train: time= 46.6s | Valid: time= 10.4s loss=0.567, TAw acc=  0.0% |
 Epoch: 28 | Train: time= 46.6s | Valid: time= 10.3s loss=0.476, TAw acc=  0.0% |
 Epoch: 29 | Train: time= 45.9s | Valid: time= 10.5s loss=0.445, TAw acc=  0.0% |
 Epoch: 30 | Train: time= 47.1s | Valid: time= 10.1s loss=0.429, TAw acc=  0.0% |
 Epoch: 31 | Train: time= 47.9s | Valid: time= 10.5s loss=0.505, TAw acc=  0.0% |
 Epoch: 32 | Train: time= 47.8s | Valid: time= 10.3s loss=0.429, TAw acc=  0.0% |
 Epoch: 33 | Train: time= 46.2s | Valid: time= 10.4s loss=0.563, TAw acc=  0.0% |
 Epoch: 34 | Train: time= 48.3s | Valid: time=  9.8s loss=0.474, TAw acc=  0.0% |
 Epoch: 35 | Train: time= 47.6s | Valid: time=  9.7s loss=0.446, TAw acc=  0.0% |
 Epoch: 36 | Train: time= 47.0s | Valid: time= 10.2s loss=0.449, TAw acc=  0.0% |
 Epoch: 37 | Train: time= 46.3s | Valid: time= 10.1s loss=0.452, TAw acc=  0.0% |
 Epoch: 38 | Train: time= 48.3s | Valid: time= 10.0s loss=0.441, TAw acc=  0.0% |
 Epoch: 39 | Train: time= 46.1s | Valid: time= 10.4s loss=0.438, TAw acc=  0.0% |
 Epoch: 40 | Train: time= 46.6s | Valid: time= 10.2s loss=0.438, TAw acc=  0.0% |
 Epoch: 41 | Train: time= 47.2s | Valid: time= 10.1s loss=0.428, TAw acc=  0.0% |
 Epoch: 42 | Train: time= 47.2s | Valid: time= 10.2s loss=0.427, TAw acc=  0.0% |
 Epoch: 43 | Train: time= 48.2s | Valid: time= 10.5s loss=0.427, TAw acc=  0.0% |
 Epoch: 44 | Train: time= 46.9s | Valid: time= 10.7s loss=0.423, TAw acc=  0.0% |
 Epoch: 45 | Train: time= 46.8s | Valid: time= 10.6s loss=0.438, TAw acc=  0.0% |
 Epoch: 46 | Train: time= 46.3s | Valid: time= 10.3s loss=0.430, TAw acc=  0.0% |
 Epoch: 47 | Train: time= 46.5s | Valid: time= 10.1s loss=0.427, TAw acc=  0.0% |
 Epoch: 48 | Train: time= 45.6s | Valid: time= 10.0s loss=0.434, TAw acc=  0.0% |
 Epoch: 49 | Train: time= 48.2s | Valid: time= 10.2s loss=0.430, TAw acc=  0.0% |
 Epoch: 50 | Train: time= 48.2s | Valid: time= 10.5s loss=0.427, TAw acc=  0.0% |
------------------------------------------------------------------------------------------------------------
