Using downloaded and verified file: ./data/organamnist/organamnist.npz
Using downloaded and verified file: ./data/organamnist/organamnist.npz
Taskcla:  [(0, 3), (1, 3), (2, 3), (3, 2)]
Number of clients each task:  [10, 10, 10, 10]
************************************************************************************************************
Task  0
************************************************************************************************************
 Epoch: 1 | Train: time= 17.5s | Valid: time=  5.6s loss=1.003, TAw acc=  0.0% |
 Epoch: 2 | Train: time= 11.2s | Valid: time=  5.8s loss=0.565, TAw acc=  0.0% |
 Epoch: 3 | Train: time= 11.3s | Valid: time=  5.5s loss=0.270, TAw acc=  0.0% |
 Epoch: 4 | Train: time= 11.0s | Valid: time=  5.6s loss=0.497, TAw acc=  0.0% |
 Epoch: 5 | Train: time= 11.4s | Valid: time=  5.9s loss=0.671, TAw acc=  0.0% |
 Epoch: 6 | Train: time= 11.1s | Valid: time=  5.4s loss=0.282, TAw acc=  0.0% |
 Epoch: 7 | Train: time= 11.3s | Valid: time=  5.6s loss=0.198, TAw acc=  0.0% |
 Epoch: 8 | Train: time= 11.1s | Valid: time=  5.7s loss=0.369, TAw acc=  0.0% |
 Epoch: 9 | Train: time= 11.1s | Valid: time=  5.5s loss=0.122, TAw acc=  0.0% |
 Epoch: 10 | Train: time= 11.2s | Valid: time=  5.4s loss=0.836, TAw acc=  0.0% |
 Epoch: 11 | Train: time= 11.0s | Valid: time=  5.6s loss=0.250, TAw acc=  0.0% |
 Epoch: 12 | Train: time= 11.3s | Valid: time=  5.4s loss=0.243, TAw acc=  0.0% |
 Epoch: 13 | Train: time= 11.2s | Valid: time=  5.6s loss=0.630, TAw acc=  0.0% |
 Epoch: 14 | Train: time= 11.2s | Valid: time=  5.8s loss=0.118, TAw acc=  0.0% |
 Epoch: 15 | Train: time= 11.2s | Valid: time=  5.7s loss=0.117, TAw acc=  0.0% |
 Epoch: 16 | Train: time= 11.0s | Valid: time=  5.8s loss=0.347, TAw acc=  0.0% |
 Epoch: 17 | Train: time= 10.9s | Valid: time=  5.7s loss=0.224, TAw acc=  0.0% |
 Epoch: 18 | Train: time= 10.8s | Valid: time=  5.7s loss=0.151, TAw acc=  0.0% |
 Epoch: 19 | Train: time= 11.4s | Valid: time=  5.5s loss=0.238, TAw acc=  0.0% |
 Epoch: 20 | Train: time= 11.0s | Valid: time=  5.7s loss=0.080, TAw acc=  0.0% |
 Epoch: 21 | Train: time= 11.3s | Valid: time=  5.7s loss=0.102, TAw acc=  0.0% |
 Epoch: 22 | Train: time= 11.0s | Valid: time=  5.6s loss=0.106, TAw acc=  0.0% |
 Epoch: 23 | Train: time= 11.2s | Valid: time=  5.4s loss=0.172, TAw acc=  0.0% |
 Epoch: 24 | Train: time= 11.0s | Valid: time=  5.6s loss=0.099, TAw acc=  0.0% |
 Epoch: 25 | Train: time= 11.1s | Valid: time=  5.5s loss=1.117, TAw acc=  0.0% |
 Epoch: 26 | Train: time= 11.4s | Valid: time=  5.5s loss=0.072, TAw acc=  0.0% |
 Epoch: 27 | Train: time= 11.0s | Valid: time=  5.6s loss=0.100, TAw acc=  0.0% |
 Epoch: 28 | Train: time= 11.0s | Valid: time=  5.6s loss=0.127, TAw acc=  0.0% |
 Epoch: 29 | Train: time= 11.5s | Valid: time=  5.5s loss=0.219, TAw acc=  0.0% |
 Epoch: 30 | Train: time= 11.3s | Valid: time=  5.4s loss=0.051, TAw acc=  0.0% |
 Epoch: 31 | Train: time= 11.1s | Valid: time=  5.4s loss=0.090, TAw acc=  0.0% |
 Epoch: 32 | Train: time= 10.9s | Valid: time=  5.9s loss=0.172, TAw acc=  0.0% |
 Epoch: 33 | Train: time= 10.8s | Valid: time=  5.6s loss=0.059, TAw acc=  0.0% |
 Epoch: 34 | Train: time= 11.0s | Valid: time=  5.9s loss=0.065, TAw acc=  0.0% |
 Epoch: 35 | Train: time= 11.1s | Valid: time=  5.5s loss=0.071, TAw acc=  0.0% |
 Epoch: 36 | Train: time= 10.8s | Valid: time=  5.6s loss=0.064, TAw acc=  0.0% |
 Epoch: 37 | Train: time= 11.2s | Valid: time=  5.6s loss=0.063, TAw acc=  0.0% |
