Using downloaded and verified file: ./data/pathmnist/pathmnist.npz
Using downloaded and verified file: ./data/pathmnist/pathmnist.npz
Taskcla:  [(0, 3), (1, 2), (2, 2), (3, 2)]
Number of clients each task:  [10, 10, 10, 10]
************************************************************************************************************
Task  0
************************************************************************************************************
 Epoch: 1 | Train: time= 42.8s | Valid: time=  7.7s loss=0.288, TAw acc=  0.0% |
 Epoch: 2 | Train: time= 38.3s | Valid: time=  7.2s loss=7.306, TAw acc=  0.0% |
 Epoch: 3 | Train: time= 39.1s | Valid: time=  6.0s loss=0.123, TAw acc=  0.0% |
 Epoch: 4 | Train: time= 37.6s | Valid: time=  5.6s loss=0.066, TAw acc=  0.0% |
 Epoch: 5 | Train: time= 38.7s | Valid: time=  6.9s loss=1.737, TAw acc=  0.0% |
 Epoch: 6 | Train: time= 38.9s | Valid: time=  7.2s loss=1.719, TAw acc=  0.0% |
 Epoch: 7 | Train: time= 37.8s | Valid: time=  7.1s loss=0.465, TAw acc=  0.0% |
 Epoch: 8 | Train: time= 38.6s | Valid: time=  7.8s loss=0.560, TAw acc=  0.0% |
 Epoch: 9 | Train: time= 38.2s | Valid: time=  7.5s loss=0.626, TAw acc=  0.0% |
 Epoch: 10 | Train: time= 38.1s | Valid: time=  7.0s loss=1.433, TAw acc=  0.0% |
 Epoch: 11 | Train: time= 38.0s | Valid: time=  6.8s loss=0.016, TAw acc=  0.0% |
 Epoch: 12 | Train: time= 38.7s | Valid: time=  6.6s loss=0.290, TAw acc=  0.0% |
 Epoch: 13 | Train: time= 38.2s | Valid: time=  7.3s loss=0.312, TAw acc=  0.0% |
 Epoch: 14 | Train: time= 38.6s | Valid: time=  7.2s loss=0.054, TAw acc=  0.0% |
 Epoch: 15 | Train: time= 38.6s | Valid: time=  6.8s loss=0.015, TAw acc=  0.0% |
 Epoch: 16 | Train: time= 38.5s | Valid: time=  7.6s loss=0.048, TAw acc=  0.0% |
 Epoch: 17 | Train: time= 38.0s | Valid: time=  6.1s loss=0.190, TAw acc=  0.0% |
 Epoch: 18 | Train: time= 38.0s | Valid: time=  6.8s loss=0.235, TAw acc=  0.0% |
 Epoch: 19 | Train: time= 37.6s | Valid: time=  6.8s loss=0.005, TAw acc=  0.0% |
 Epoch: 20 | Train: time= 37.9s | Valid: time=  7.8s loss=0.020, TAw acc=  0.0% |
 Epoch: 21 | Train: time= 39.0s | Valid: time=  6.7s loss=0.029, TAw acc=  0.0% |
 Epoch: 22 | Train: time= 38.9s | Valid: time=  7.6s loss=0.023, TAw acc=  0.0% |
 Epoch: 23 | Train: time= 39.4s | Valid: time=  6.0s loss=0.007, TAw acc=  0.0% |
 Epoch: 24 | Train: time= 37.6s | Valid: time=  7.3s loss=0.026, TAw acc=  0.0% |
 Epoch: 25 | Train: time= 40.2s | Valid: time=  7.4s loss=0.173, TAw acc=  0.0% |
 Epoch: 26 | Train: time= 38.2s | Valid: time=  7.2s loss=0.014, TAw acc=  0.0% |
 Epoch: 27 | Train: time= 39.8s | Valid: time=  6.6s loss=0.016, TAw acc=  0.0% |
 Epoch: 28 | Train: time= 39.0s | Valid: time=  7.1s loss=0.011, TAw acc=  0.0% |
 Epoch: 29 | Train: time= 38.6s | Valid: time=  6.5s loss=0.014, TAw acc=  0.0% |
 Epoch: 30 | Train: time= 38.0s | Valid: time=  6.9s loss=0.013, TAw acc=  0.0% |
 Epoch: 31 | Train: time= 37.7s | Valid: time=  6.8s loss=0.017, TAw acc=  0.0% |
 Epoch: 32 | Train: time= 38.9s | Valid: time=  6.7s loss=0.038, TAw acc=  0.0% |
 Epoch: 33 | Train: time= 38.3s | Valid: time=  7.2s loss=0.005, TAw acc=  0.0% |
 Epoch: 34 | Train: time= 39.2s | Valid: time=  5.9s loss=0.006, TAw acc=  0.0% |
 Epoch: 35 | Train: time= 38.8s | Valid: time=  7.7s loss=0.007, TAw acc=  0.0% |
 Epoch: 36 | Train: time= 38.7s | Valid: time=  7.5s loss=0.006, TAw acc=  0.0% |
 Epoch: 37 | Train: time= 38.0s | Valid: time=  7.3s loss=0.007, TAw acc=  0.0% |
 Epoch: 38 | Train: time= 38.4s | Valid: time=  6.2s loss=0.006, TAw acc=  0.0% |
 Epoch: 39 | Train: time= 38.5s | Valid: time=  5.6s loss=0.006, TAw acc=  0.0% |
 Epoch: 40 | Train: time= 37.1s | Valid: time=  6.9s loss=0.006, TAw acc=  0.0% |
 Epoch: 41 | Train: time= 39.9s | Valid: time=  7.4s loss=0.005, TAw acc=  0.0% |
 Epoch: 42 | Train: time= 38.4s | Valid: time=  7.3s loss=0.006, TAw acc=  0.0% |
 Epoch: 43 | Train: time= 39.0s | Valid: time=  7.0s loss=0.006, TAw acc=  0.0% |
 Epoch: 44 | Train: time= 38.1s | Valid: time=  7.0s loss=0.005, TAw acc=  0.0% |
 Epoch: 45 | Train: time= 38.7s | Valid: time=  7.2s loss=0.005, TAw acc=  0.0% |
 Epoch: 46 | Train: time= 38.5s | Valid: time=  5.9s loss=0.005, TAw acc=  0.0% |
 Epoch: 47 | Train: time= 38.0s | Valid: time=  7.3s loss=0.005, TAw acc=  0.0% |
 Epoch: 48 | Train: time= 37.8s | Valid: time=  7.0s loss=0.005, TAw acc=  0.0% |
 Epoch: 49 | Train: time= 40.2s | Valid: time=  7.6s loss=0.005, TAw acc=  0.0% |
 Epoch: 50 | Train: time= 38.4s | Valid: time=  6.6s loss=0.006, TAw acc=  0.0% |
------------------------------------------------------------------------------------------------------------
>>> Test on task  0 : loss=0.105 | TAw acc=  0.0%, forg=  0.0%| TAg acc=: 97.3%, forg=  0.0% <<<
Save at ./results/20241205_der_csl_noexem/pathmnist/pathmnist_der_split_dp_noexem_fixd_csl_1
************************************************************************************************************
Task  1
************************************************************************************************************
 Epoch: 1 | Train: time= 25.2s | Valid: time=  6.8s loss=0.050, TAw acc=  0.0% |
 Epoch: 2 | Train: time= 26.6s | Valid: time=  6.5s loss=0.040, TAw acc=  0.0% |
 Epoch: 3 | Train: time= 25.4s | Valid: time=  6.3s loss=0.015, TAw acc=  0.0% |
 Epoch: 4 | Train: time= 27.2s | Valid: time=  6.0s loss=2.190, TAw acc=  0.0% |
 Epoch: 5 | Train: time= 25.5s | Valid: time=  6.0s loss=0.061, TAw acc=  0.0% |
 Epoch: 6 | Train: time= 25.4s | Valid: time=  6.2s loss=0.004, TAw acc=  0.0% |
 Epoch: 7 | Train: time= 26.0s | Valid: time=  6.0s loss=0.017, TAw acc=  0.0% |
 Epoch: 8 | Train: time= 25.9s | Valid: time=  6.6s loss=0.006, TAw acc=  0.0% |
 Epoch: 9 | Train: time= 26.3s | Valid: time=  5.4s loss=0.007, TAw acc=  0.0% |
 Epoch: 10 | Train: time= 25.8s | Valid: time=  5.8s loss=0.010, TAw acc=  0.0% |
 Epoch: 11 | Train: time= 26.2s | Valid: time=  5.6s loss=0.007, TAw acc=  0.0% |
 Epoch: 12 | Train: time= 25.9s | Valid: time=  6.8s loss=0.026, TAw acc=  0.0% |
 Epoch: 13 | Train: time= 25.9s | Valid: time=  6.4s loss=0.003, TAw acc=  0.0% |
 Epoch: 14 | Train: time= 26.7s | Valid: time=  5.3s loss=0.001, TAw acc=  0.0% |
 Epoch: 15 | Train: time= 26.5s | Valid: time=  6.7s loss=0.009, TAw acc=  0.0% |
 Epoch: 16 | Train: time= 27.1s | Valid: time=  6.9s loss=0.014, TAw acc=  0.0% |
 Epoch: 17 | Train: time= 26.8s | Valid: time=  6.2s loss=0.002, TAw acc=  0.0% |
 Epoch: 18 | Train: time= 25.4s | Valid: time=  6.4s loss=0.005, TAw acc=  0.0% |
 Epoch: 19 | Train: time= 26.3s | Valid: time=  5.8s loss=0.002, TAw acc=  0.0% |
