Using downloaded and verified file: ./data/svhn/train_32x32.mat
Using downloaded and verified file: ./data/svhn/test_32x32.mat
Taskcla:  [(0, 2), (1, 2), (2, 2), (3, 2), (4, 2)]
Number of clients each task:  [10, 10, 10, 10, 10]
************************************************************************************************************
Task  0
************************************************************************************************************
 Epoch: 1 | Train: time= 29.8s | Valid: time=  5.3s loss=0.292, TAw acc=  0.0% |
 Epoch: 2 | Train: time= 25.8s | Valid: time=  5.4s loss=1.360, TAw acc=  0.0% |
 Epoch: 3 | Train: time= 25.7s | Valid: time=  5.3s loss=0.200, TAw acc=  0.0% |
 Epoch: 4 | Train: time= 26.4s | Valid: time=  5.4s loss=0.070, TAw acc=  0.0% |
 Epoch: 5 | Train: time= 26.1s | Valid: time=  5.3s loss=0.065, TAw acc=  0.0% |
 Epoch: 6 | Train: time= 25.6s | Valid: time=  5.4s loss=0.096, TAw acc=  0.0% |
 Epoch: 7 | Train: time= 26.0s | Valid: time=  5.5s loss=0.064, TAw acc=  0.0% |
 Epoch: 8 | Train: time= 26.0s | Valid: time=  5.4s loss=0.133, TAw acc=  0.0% |
 Epoch: 9 | Train: time= 26.0s | Valid: time=  5.3s loss=0.107, TAw acc=  0.0% |
 Epoch: 10 | Train: time= 25.8s | Valid: time=  5.2s loss=0.064, TAw acc=  0.0% |
 Epoch: 11 | Train: time= 25.4s | Valid: time=  5.5s loss=0.065, TAw acc=  0.0% |
 Epoch: 12 | Train: time= 26.1s | Valid: time=  5.5s loss=2.452, TAw acc=  0.0% |
 Epoch: 13 | Train: time= 25.7s | Valid: time=  5.6s loss=0.087, TAw acc=  0.0% |
 Epoch: 14 | Train: time= 26.1s | Valid: time=  5.3s loss=0.085, TAw acc=  0.0% |
 Epoch: 15 | Train: time= 25.8s | Valid: time=  5.4s loss=0.092, TAw acc=  0.0% |
 Epoch: 16 | Train: time= 26.4s | Valid: time=  5.3s loss=0.096, TAw acc=  0.0% |
 Epoch: 17 | Train: time= 25.5s | Valid: time=  5.6s loss=0.083, TAw acc=  0.0% |
 Epoch: 18 | Train: time= 25.0s | Valid: time=  5.4s loss=0.112, TAw acc=  0.0% |
 Epoch: 19 | Train: time= 25.7s | Valid: time=  5.6s loss=0.093, TAw acc=  0.0% |
 Epoch: 20 | Train: time= 25.4s | Valid: time=  5.4s loss=0.086, TAw acc=  0.0% |
 Epoch: 21 | Train: time= 26.2s | Valid: time=  5.6s loss=0.086, TAw acc=  0.0% |
 Epoch: 22 | Train: time= 26.2s | Valid: time=  5.3s loss=0.648, TAw acc=  0.0% |
 Epoch: 23 | Train: time= 26.0s | Valid: time=  5.4s loss=0.075, TAw acc=  0.0% |
 Epoch: 24 | Train: time= 25.9s | Valid: time=  5.5s loss=0.075, TAw acc=  0.0% |
 Epoch: 25 | Train: time= 25.6s | Valid: time=  5.4s loss=0.082, TAw acc=  0.0% |
 Epoch: 26 | Train: time= 25.6s | Valid: time=  5.3s loss=0.076, TAw acc=  0.0% |
 Epoch: 27 | Train: time= 25.6s | Valid: time=  5.4s loss=0.073, TAw acc=  0.0% |
 Epoch: 28 | Train: time= 25.7s | Valid: time=  5.3s loss=0.080, TAw acc=  0.0% |
 Epoch: 29 | Train: time= 25.8s | Valid: time=  5.3s loss=0.085, TAw acc=  0.0% |
 Epoch: 30 | Train: time= 25.6s | Valid: time=  5.3s loss=0.127, TAw acc=  0.0% |
 Epoch: 31 | Train: time= 25.8s | Valid: time=  5.4s loss=0.081, TAw acc=  0.0% |
 Epoch: 32 | Train: time= 26.0s | Valid: time=  5.3s loss=0.093, TAw acc=  0.0% |
 Epoch: 33 | Train: time= 25.7s | Valid: time=  5.3s loss=14.122, TAw acc=  0.0% |
 Epoch: 34 | Train: time= 25.0s | Valid: time=  5.5s loss=0.086, TAw acc=  0.0% |
 Epoch: 35 | Train: time= 25.4s | Valid: time=  5.4s loss=0.072, TAw acc=  0.0% |
 Epoch: 36 | Train: time= 25.7s | Valid: time=  5.4s loss=0.070, TAw acc=  0.0% |
 Epoch: 37 | Train: time= 25.4s | Valid: time=  5.4s loss=0.068, TAw acc=  0.0% |
 Epoch: 38 | Train: time= 25.6s | Valid: time=  5.3s loss=0.071, TAw acc=  0.0% |
 Epoch: 39 | Train: time= 25.8s | Valid: time=  5.5s loss=0.069, TAw acc=  0.0% |
 Epoch: 40 | Train: time= 25.8s | Valid: time=  5.3s loss=0.070, TAw acc=  0.0% |
 Epoch: 41 | Train: time= 25.5s | Valid: time=  5.5s loss=0.072, TAw acc=  0.0% |
 Epoch: 42 | Train: time= 25.8s | Valid: time=  5.3s loss=0.070, TAw acc=  0.0% |
 Epoch: 43 | Train: time= 25.6s | Valid: time=  5.5s loss=0.069, TAw acc=  0.0% |
 Epoch: 44 | Train: time= 25.4s | Valid: time=  5.4s loss=0.070, TAw acc=  0.0% |
 Epoch: 45 | Train: time= 25.6s | Valid: time=  5.3s loss=0.067, TAw acc=  0.0% |
 Epoch: 46 | Train: time= 25.5s | Valid: time=  5.2s loss=0.073, TAw acc=  0.0% |
 Epoch: 47 | Train: time= 25.9s | Valid: time=  5.3s loss=0.071, TAw acc=  0.0% |
 Epoch: 48 | Train: time= 25.7s | Valid: time=  5.3s loss=0.071, TAw acc=  0.0% |
 Epoch: 49 | Train: time= 25.0s | Valid: time=  5.4s loss=0.070, TAw acc=  0.0% |
 Epoch: 50 | Train: time= 25.7s | Valid: time=  5.4s loss=0.071, TAw acc=  0.0% |
------------------------------------------------------------------------------------------------------------
>>> Test on task  0 : loss=0.061 | TAw acc=  0.0%, forg=  0.0%| TAg acc=: 98.6%, forg=  0.0% <<<
Save at ./results/20241205_der_csl_noexem/svhn/svhn_der_split_dp_noexem_fixd_csl_3
************************************************************************************************************
Task  1
************************************************************************************************************
 Epoch: 1 | Train: time= 26.1s | Valid: time=  5.4s loss=1.494, TAw acc=  0.0% |
 Epoch: 2 | Train: time= 26.0s | Valid: time=  5.5s loss=0.102, TAw acc=  0.0% |
 Epoch: 3 | Train: time= 26.3s | Valid: time=  5.4s loss=0.204, TAw acc=  0.0% |
 Epoch: 4 | Train: time= 25.6s | Valid: time=  5.5s loss=0.097, TAw acc=  0.0% |
