Using downloaded and verified file: ./data/organamnist/organamnist.npz
Using downloaded and verified file: ./data/organamnist/organamnist.npz
num params: 465968
[(0, 3), (1, 3), (2, 3), (3, 2)]
************************************************************************************************************
Task  0
************************************************************************************************************
| Epoch   1, time=  2.3s | Train: skip eval | Valid: time=  0.5s loss=0.491, TAw acc= 79.2% | *
| Epoch   2, time=  2.2s | Train: skip eval | Valid: time=  0.5s loss=0.398, TAw acc= 86.2% | *
| Epoch   3, time=  2.2s | Train: skip eval | Valid: time=  0.6s loss=0.188, TAw acc= 92.8% | *
| Epoch   4, time=  2.1s | Train: skip eval | Valid: time=  0.6s loss=0.468, TAw acc= 79.8% |
| Epoch   5, time=  2.3s | Train: skip eval | Valid: time=  0.5s loss=0.419, TAw acc= 84.9% |
| Epoch   6, time=  2.3s | Train: skip eval | Valid: time=  0.6s loss=0.130, TAw acc= 96.2% | *
| Epoch   7, time=  2.2s | Train: skip eval | Valid: time=  0.5s loss=0.076, TAw acc= 98.3% | *
| Epoch   8, time=  2.4s | Train: skip eval | Valid: time=  0.5s loss=0.111, TAw acc= 96.4% |
| Epoch   9, time=  2.2s | Train: skip eval | Valid: time=  0.5s loss=0.104, TAw acc= 96.6% |
| Epoch  10, time=  2.2s | Train: skip eval | Valid: time=  0.5s loss=0.119, TAw acc= 96.6% |
| Epoch  11, time=  2.3s | Train: skip eval | Valid: time=  0.5s loss=0.136, TAw acc= 95.5% |
| Epoch  12, time=  2.2s | Train: skip eval | Valid: time=  0.5s loss=0.083, TAw acc= 97.5% |
| Epoch  13, time=  2.3s | Train: skip eval | Valid: time=  0.5s loss=0.092, TAw acc= 96.4% |
| Epoch  14, time=  2.3s | Train: skip eval | Valid: time=  0.6s loss=0.082, TAw acc= 97.7% |
| Epoch  15, time=  2.2s | Train: skip eval | Valid: time=  0.5s loss=0.083, TAw acc= 97.7% |
| Epoch  16, time=  2.2s | Train: skip eval | Valid: time=  0.5s loss=0.057, TAw acc= 98.3% | *
| Epoch  17, time=  2.2s | Train: skip eval | Valid: time=  0.5s loss=0.138, TAw acc= 95.1% |
| Epoch  18, time=  2.2s | Train: skip eval | Valid: time=  0.5s loss=0.057, TAw acc= 98.3% |
| Epoch  19, time=  2.3s | Train: skip eval | Valid: time=  0.5s loss=0.057, TAw acc= 98.7% |
| Epoch  20, time=  2.3s | Train: skip eval | Valid: time=  0.5s loss=0.040, TAw acc= 99.2% | *
| Epoch  21, time=  2.2s | Train: skip eval | Valid: time=  0.5s loss=0.097, TAw acc= 97.9% |
| Epoch  22, time=  2.3s | Train: skip eval | Valid: time=  0.5s loss=0.077, TAw acc= 98.1% |
| Epoch  23, time=  2.2s | Train: skip eval | Valid: time=  0.6s loss=0.039, TAw acc= 98.9% | *
| Epoch  24, time=  2.2s | Train: skip eval | Valid: time=  0.5s loss=0.058, TAw acc= 98.3% |
| Epoch  25, time=  2.2s | Train: skip eval | Valid: time=  0.5s loss=0.057, TAw acc= 98.7% |
| Epoch  26, time=  2.0s | Train: skip eval | Valid: time=  0.5s loss=0.049, TAw acc= 98.3% |
| Epoch  27, time=  2.2s | Train: skip eval | Valid: time=  0.5s loss=0.138, TAw acc= 94.7% |
| Epoch  28, time=  2.2s | Train: skip eval | Valid: time=  0.5s loss=0.082, TAw acc= 96.4% |
| Epoch  29, time=  2.2s | Train: skip eval | Valid: time=  0.5s loss=0.085, TAw acc= 96.6% |
| Epoch  30, time=  2.2s | Train: skip eval | Valid: time=  0.5s loss=0.027, TAw acc= 99.2% | *
| Epoch  31, time=  2.2s | Train: skip eval | Valid: time=  0.5s loss=0.057, TAw acc= 98.3% |
| Epoch  32, time=  2.2s | Train: skip eval | Valid: time=  0.5s loss=0.038, TAw acc= 98.7% |
| Epoch  33, time=  2.3s | Train: skip eval | Valid: time=  0.5s loss=0.046, TAw acc= 98.1% |
| Epoch  34, time=  2.3s | Train: skip eval | Valid: time=  0.5s loss=0.106, TAw acc= 96.2% |
| Epoch  35, time=  2.2s | Train: skip eval | Valid: time=  0.5s loss=0.046, TAw acc= 98.9% |
| Epoch  36, time=  2.2s | Train: skip eval | Valid: time=  0.5s loss=0.130, TAw acc= 95.5% |
| Epoch  37, time=  2.2s | Train: skip eval | Valid: time=  0.5s loss=0.144, TAw acc= 94.1% |
| Epoch  38, time=  2.2s | Train: skip eval | Valid: time=  0.5s loss=0.060, TAw acc= 98.3% |
| Epoch  39, time=  2.2s | Train: skip eval | Valid: time=  0.5s loss=0.035, TAw acc= 98.9% |
| Epoch  40, time=  2.2s | Train: skip eval | Valid: time=  0.5s loss=0.035, TAw acc= 98.9% |
| Epoch  41, time=  2.2s | Train: skip eval | Valid: time=  0.5s loss=0.065, TAw acc= 98.1% |
| Epoch  42, time=  2.2s | Train: skip eval | Valid: time=  0.5s loss=0.055, TAw acc= 98.7% |
| Epoch  43, time=  2.1s | Train: skip eval | Valid: time=  0.6s loss=0.057, TAw acc= 97.7% |
| Epoch  44, time=  2.3s | Train: skip eval | Valid: time=  0.5s loss=0.024, TAw acc= 99.6% | *
| Epoch  45, time=  2.1s | Train: skip eval | Valid: time=  0.6s loss=0.053, TAw acc= 98.3% |
| Epoch  46, time=  2.2s | Train: skip eval | Valid: time=  0.6s loss=0.027, TAw acc= 99.2% |
| Epoch  47, time=  2.3s | Train: skip eval | Valid: time=  0.5s loss=0.031, TAw acc= 99.4% |
| Epoch  48, time=  2.2s | Train: skip eval | Valid: time=  0.5s loss=0.043, TAw acc= 98.9% |
| Epoch  49, time=  2.2s | Train: skip eval | Valid: time=  0.5s loss=0.039, TAw acc= 99.2% |
| Epoch  50, time=  2.3s | Train: skip eval | Valid: time=  0.5s loss=0.027, TAw acc= 99.4% |
| Epoch  51, time=  2.4s | Train: skip eval | Valid: time=  0.6s loss=0.054, TAw acc= 98.1% |
| Epoch  52, time=  2.2s | Train: skip eval | Valid: time=  0.5s loss=0.039, TAw acc= 98.9% |
| Epoch  53, time=  2.2s | Train: skip eval | Valid: time=  0.5s loss=0.033, TAw acc= 99.4% |
| Epoch  54, time=  2.2s | Train: skip eval | Valid: time=  0.5s loss=0.059, TAw acc= 98.1% |
| Epoch  55, time=  2.2s | Train: skip eval | Valid: time=  0.5s loss=0.041, TAw acc= 98.7% |
| Epoch  56, time=  2.2s | Train: skip eval | Valid: time=  0.5s loss=0.050, TAw acc= 98.5% |
| Epoch  57, time=  2.2s | Train: skip eval | Valid: time=  0.5s loss=0.031, TAw acc= 99.2% |
| Epoch  58, time=  2.2s | Train: skip eval | Valid: time=  0.5s loss=0.197, TAw acc= 93.4% |
| Epoch  59, time=  2.2s | Train: skip eval | Valid: time=  0.5s loss=0.117, TAw acc= 96.4% |
| Selected 201 train exemplars, time= 10.1s
self.logits length and one shape:  201 (3,)
------------------------------------------------------------------------------------------------------------
>>> Test on task  0 : loss=0.154 | TAw acc= 96.2%, forg=  0.0%| TAg acc= 96.2%, forg=  0.0% <<<
Save at ./results/ACCV_2024_rebuttal/der/organamnist/organamnist_der_fixd_cl_2
************************************************************************************************************
Task  1
************************************************************************************************************
| Epoch   1, time= 40.0s | Train: skip eval | Valid: time=  0.6s loss=0.462, TAw acc= 79.6% | *
| Epoch   2, time= 39.3s | Train: skip eval | Valid: time=  0.6s loss=0.320, TAw acc= 87.1% | *
| Epoch   3, time= 39.7s | Train: skip eval | Valid: time=  0.6s loss=0.359, TAw acc= 84.4% |
| Epoch   4, time= 39.4s | Train: skip eval | Valid: time=  0.6s loss=0.272, TAw acc= 87.0% | *
| Epoch   5, time= 40.9s | Train: skip eval | Valid: time=  0.6s loss=0.264, TAw acc= 88.5% | *
| Epoch   6, time= 39.7s | Train: skip eval | Valid: time=  0.6s loss=0.315, TAw acc= 85.9% |
| Epoch   7, time= 40.1s | Train: skip eval | Valid: time=  0.6s loss=0.260, TAw acc= 89.1% | *
| Epoch   8, time= 39.3s | Train: skip eval | Valid: time=  0.6s loss=0.216, TAw acc= 92.2% | *
| Epoch   9, time= 39.6s | Train: skip eval | Valid: time=  0.6s loss=0.222, TAw acc= 89.7% |
| Epoch  10, time= 40.4s | Train: skip eval | Valid: time=  0.6s loss=0.233, TAw acc= 90.6% |
| Epoch  11, time= 40.4s | Train: skip eval | Valid: time=  0.6s loss=0.190, TAw acc= 91.1% | *
| Epoch  12, time= 39.5s | Train: skip eval | Valid: time=  0.6s loss=0.176, TAw acc= 91.6% | *
| Epoch  13, time= 39.5s | Train: skip eval | Valid: time=  0.6s loss=0.168, TAw acc= 92.0% | *
| Epoch  14, time= 40.7s | Train: skip eval | Valid: time=  0.6s loss=0.212, TAw acc= 90.7% |
| Epoch  15, time= 40.1s | Train: skip eval | Valid: time=  0.6s loss=0.199, TAw acc= 91.2% |
| Epoch  16, time= 39.5s | Train: skip eval | Valid: time=  0.6s loss=0.224, TAw acc= 91.8% |
| Epoch  17, time= 40.4s | Train: skip eval | Valid: time=  0.6s loss=0.356, TAw acc= 87.0% |
| Epoch  18, time= 39.5s | Train: skip eval | Valid: time=  0.7s loss=0.142, TAw acc= 94.1% | *
| Epoch  19, time= 39.5s | Train: skip eval | Valid: time=  0.6s loss=0.211, TAw acc= 92.6% |
| Epoch  20, time= 39.8s | Train: skip eval | Valid: time=  0.6s loss=0.203, TAw acc= 91.2% |
| Epoch  21, time= 39.9s | Train: skip eval | Valid: time=  0.7s loss=0.128, TAw acc= 94.4% | *
| Epoch  22, time= 41.3s | Train: skip eval | Valid: time=  0.6s loss=0.142, TAw acc= 94.2% |
| Epoch  23, time= 40.9s | Train: skip eval | Valid: time=  0.6s loss=0.153, TAw acc= 92.9% |
