Using downloaded and verified file: ./data/tissuemnist/tissuemnist.npz
Using downloaded and verified file: ./data/tissuemnist/tissuemnist.npz
num params: 465968
[(0, 2), (1, 2), (2, 2), (3, 2)]
************************************************************************************************************
Task  0
************************************************************************************************************
| Epoch   1, time= 20.8s | Train: skip eval | Valid: time=  1.3s loss=0.363, TAw acc= 87.5% | *
| Epoch   2, time= 21.1s | Train: skip eval | Valid: time=  1.3s loss=0.376, TAw acc= 84.9% |
| Epoch   3, time= 21.6s | Train: skip eval | Valid: time=  1.5s loss=0.325, TAw acc= 88.1% | *
| Epoch   4, time= 21.7s | Train: skip eval | Valid: time=  1.5s loss=0.320, TAw acc= 87.7% | *
| Epoch   5, time= 22.3s | Train: skip eval | Valid: time=  1.5s loss=0.322, TAw acc= 87.4% |
| Epoch   6, time= 23.1s | Train: skip eval | Valid: time=  1.5s loss=0.312, TAw acc= 87.8% | *
| Epoch   7, time= 22.3s | Train: skip eval | Valid: time=  1.5s loss=0.314, TAw acc= 87.9% |
| Epoch   8, time= 22.3s | Train: skip eval | Valid: time=  1.5s loss=0.330, TAw acc= 87.3% |
| Epoch   9, time= 22.9s | Train: skip eval | Valid: time=  1.5s loss=0.311, TAw acc= 88.3% | *
| Epoch  10, time= 22.8s | Train: skip eval | Valid: time=  1.5s loss=0.304, TAw acc= 88.3% | *
| Epoch  11, time= 23.2s | Train: skip eval | Valid: time=  1.5s loss=0.312, TAw acc= 88.0% |
| Epoch  12, time= 22.1s | Train: skip eval | Valid: time=  1.4s loss=0.313, TAw acc= 87.9% |
| Epoch  13, time= 23.0s | Train: skip eval | Valid: time=  1.5s loss=0.307, TAw acc= 88.5% |
| Epoch  14, time= 21.6s | Train: skip eval | Valid: time=  1.3s loss=0.313, TAw acc= 87.7% |
| Epoch  15, time= 20.7s | Train: skip eval | Valid: time=  1.2s loss=0.307, TAw acc= 87.8% |
| Epoch  16, time= 20.6s | Train: skip eval | Valid: time=  1.3s loss=0.297, TAw acc= 88.8% | *
| Epoch  17, time= 20.7s | Train: skip eval | Valid: time=  1.3s loss=0.296, TAw acc= 88.5% | *
| Epoch  18, time= 21.6s | Train: skip eval | Valid: time=  1.3s loss=0.320, TAw acc= 88.0% |
| Epoch  19, time= 21.0s | Train: skip eval | Valid: time=  1.2s loss=0.313, TAw acc= 88.0% |
| Epoch  20, time= 21.1s | Train: skip eval | Valid: time=  1.3s loss=0.295, TAw acc= 88.8% | *
| Epoch  21, time= 21.0s | Train: skip eval | Valid: time=  1.2s loss=0.293, TAw acc= 88.3% | *
| Epoch  22, time= 20.7s | Train: skip eval | Valid: time=  1.3s loss=0.298, TAw acc= 88.8% |
| Epoch  23, time= 20.6s | Train: skip eval | Valid: time=  1.2s loss=0.300, TAw acc= 88.6% |
| Epoch  24, time= 21.2s | Train: skip eval | Valid: time=  1.5s loss=0.302, TAw acc= 88.0% |
| Epoch  25, time= 21.4s | Train: skip eval | Valid: time=  1.2s loss=0.341, TAw acc= 86.1% |
| Epoch  26, time= 21.3s | Train: skip eval | Valid: time=  1.3s loss=0.324, TAw acc= 88.4% |
| Epoch  27, time= 20.8s | Train: skip eval | Valid: time=  1.2s loss=0.292, TAw acc= 89.0% | *
| Epoch  28, time= 20.9s | Train: skip eval | Valid: time=  1.4s loss=0.291, TAw acc= 89.0% | *
| Epoch  29, time= 21.8s | Train: skip eval | Valid: time=  1.2s loss=0.288, TAw acc= 88.9% | *
| Epoch  30, time= 21.0s | Train: skip eval | Valid: time=  1.2s loss=0.289, TAw acc= 88.8% |
| Epoch  31, time= 20.4s | Train: skip eval | Valid: time=  1.3s loss=0.297, TAw acc= 89.0% |
| Epoch  32, time= 20.8s | Train: skip eval | Valid: time=  1.3s loss=0.292, TAw acc= 88.9% |
