Files already downloaded and verified
Files already downloaded and verified
Taskcla:  [(0, 10), (1, 10), (2, 10), (3, 10), (4, 10), (5, 10), (6, 10), (7, 10), (8, 10), (9, 10)]
Number of clients each task:  [10, 10, 10, 10, 10, 10, 10, 10, 10, 10]
************************************************************************************************************
Task  0
************************************************************************************************************
 Epoch: 1 | Train: time=  5.9s | Valid: time=  3.3s loss=1.815, TAw acc= 33.8% | *
 Epoch: 2 | Train: time=  6.2s | Valid: time=  3.3s loss=1.748, TAw acc= 43.4% | *
 Epoch: 3 | Train: time=  6.0s | Valid: time=  3.3s loss=1.338, TAw acc= 51.4% | *
 Epoch: 4 | Train: time=  6.2s | Valid: time=  3.2s loss=1.242, TAw acc= 56.4% | *
 Epoch: 5 | Train: time=  6.2s | Valid: time=  3.3s loss=1.380, TAw acc= 53.2% |
 Epoch: 6 | Train: time=  6.3s | Valid: time=  3.4s loss=1.306, TAw acc= 57.2% |
 Epoch: 7 | Train: time=  6.3s | Valid: time=  3.3s loss=1.231, TAw acc= 57.8% | *
 Epoch: 8 | Train: time=  6.2s | Valid: time=  3.3s loss=1.389, TAw acc= 53.2% |
 Epoch: 9 | Train: time=  6.2s | Valid: time=  3.3s loss=1.421, TAw acc= 55.6% |
 Epoch: 10 | Train: time=  6.3s | Valid: time=  3.2s loss=1.729, TAw acc= 53.0% |
 Epoch: 11 | Train: time=  5.9s | Valid: time=  3.2s loss=1.420, TAw acc= 52.4% |
 Epoch: 12 | Train: time=  5.9s | Valid: time=  3.2s loss=1.763, TAw acc= 47.6% |
 Epoch: 13 | Train: time=  6.2s | Valid: time=  3.2s loss=1.407, TAw acc= 56.2% |
 Epoch: 14 | Train: time=  6.2s | Valid: time=  3.3s loss=1.380, TAw acc= 55.0% |
 Epoch: 15 | Train: time=  6.1s | Valid: time=  3.3s loss=1.799, TAw acc= 48.4% |
 Epoch: 16 | Train: time=  6.1s | Valid: time=  3.3s loss=1.117, TAw acc= 63.8% | *
 Epoch: 17 | Train: time=  6.1s | Valid: time=  3.3s loss=1.491, TAw acc= 58.8% |
 Epoch: 18 | Train: time=  6.3s | Valid: time=  3.3s loss=0.980, TAw acc= 65.6% | *
 Epoch: 19 | Train: time=  6.2s | Valid: time=  3.3s loss=1.120, TAw acc= 62.4% |
 Epoch: 20 | Train: time=  6.2s | Valid: time=  3.4s loss=1.010, TAw acc= 67.2% |
 Epoch: 21 | Train: time=  6.4s | Valid: time=  3.1s loss=1.016, TAw acc= 68.0% |
 Epoch: 22 | Train: time=  6.2s | Valid: time=  3.3s loss=1.004, TAw acc= 68.6% |
 Epoch: 23 | Train: time=  6.0s | Valid: time=  3.3s loss=1.127, TAw acc= 63.4% |
