Using downloaded and verified file: ./data/organamnist/organamnist.npz
Using downloaded and verified file: ./data/organamnist/organamnist.npz
Taskcla:  [(0, 3), (1, 3), (2, 3), (3, 2)]
Number of clients each task:  [10, 10, 10, 10]
************************************************************************************************************
Task  0
************************************************************************************************************
 Epoch: 1 | Train: time=  6.7s | Valid: time=  4.0s loss=0.524, TAw acc= 75.6% | *
 Epoch: 2 | Train: time=  6.5s | Valid: time=  3.7s loss=0.328, TAw acc= 87.2% | *
 Epoch: 3 | Train: time=  6.5s | Valid: time=  3.9s loss=0.361, TAw acc= 86.3% |
 Epoch: 4 | Train: time=  6.7s | Valid: time=  3.8s loss=0.153, TAw acc= 95.0% | *
 Epoch: 5 | Train: time=  6.7s | Valid: time=  3.9s loss=0.226, TAw acc= 90.1% |
 Epoch: 6 | Train: time=  6.6s | Valid: time=  4.0s loss=0.160, TAw acc= 93.9% |
 Epoch: 7 | Train: time=  6.8s | Valid: time=  3.7s loss=0.137, TAw acc= 95.8% | *
 Epoch: 8 | Train: time=  6.1s | Valid: time=  3.5s loss=0.106, TAw acc= 96.7% | *
 Epoch: 9 | Train: time=  6.2s | Valid: time=  3.6s loss=0.122, TAw acc= 97.0% |
 Epoch: 10 | Train: time=  6.2s | Valid: time=  3.5s loss=0.084, TAw acc= 98.6% | *
 Epoch: 11 | Train: time=  6.1s | Valid: time=  3.5s loss=0.108, TAw acc= 97.0% |
 Epoch: 12 | Train: time=  6.4s | Valid: time=  3.6s loss=0.071, TAw acc= 97.4% | *
 Epoch: 13 | Train: time=  6.3s | Valid: time=  3.5s loss=0.055, TAw acc= 98.0% | *
 Epoch: 14 | Train: time=  6.4s | Valid: time=  3.5s loss=0.107, TAw acc= 96.2% |
 Epoch: 15 | Train: time=  6.3s | Valid: time=  3.4s loss=0.101, TAw acc= 95.3% |
 Epoch: 16 | Train: time=  6.4s | Valid: time=  3.7s loss=0.059, TAw acc= 98.2% |
 Epoch: 17 | Train: time=  6.5s | Valid: time=  3.6s loss=0.348, TAw acc= 89.8% |
 Epoch: 18 | Train: time=  6.2s | Valid: time=  3.7s loss=0.125, TAw acc= 96.4% |
 Epoch: 19 | Train: time=  6.5s | Valid: time=  3.5s loss=0.064, TAw acc= 98.0% |
